Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
Mme,LAÏDOUNI-DENIS,Myriam,Conseillère régionale,Auvergne-Rhône-Alpes,Isère,JADOT Yannick,03/02/2022,ISERE,38,84,38AUVERGNERHONEALPES,
Mme,CHALAS,Emilie,Députée,3ème circonscription,Isère,MACRON Emmanuel,03/02/2022,ISERE,38,84,38EMECIRCONSCRIPTION,
Mme,GALLIARD-MINIER,Camille,Députée,1ère circonscription,Isère,MACRON Emmanuel,03/02/2022,ISERE,38,84,38ERECIRCONSCRIPTION,
M.,ILTIS,Laurent,Maire,Pact,Isère,MACRON Emmanuel,03/02/2022,ISERE,38,84,38PACT,38290
M.,KECHICHIAN,Max,Maire,Serpaize,Isère,MACRON Emmanuel,03/02/2022,ISERE,38,84,38SERPAIZE,38484
M.,RAMBAUD,Didier,Sénateur,,Isère,MACRON Emmanuel,03/02/2022,ISERE,38,84,38,
M.,MAUROY,Claude-Emmanuel,Maire,Les Côtes-de-Corps,Isère,MÉLENCHON Jean-Luc,03/02/2022,ISERE,38,84,38LESCOTESDECORPS,38132
M.,VIAL,Gilles,Maire,Salaise-sur-Sanne,Isère,MÉLENCHON Jean-Luc,03/02/2022,ISERE,38,84,38SALAISESURSANNE,38468
M.,CLERET,Gilles,Maire,Saint-Andéol,Isère,POUTOU Philippe,03/02/2022,ISERE,38,84,38SAINTANDEOL,38355
M.,GIRARD,Gabriel,Maire,La Chapelle-de-Surieu,Isère,POUTOU Philippe,03/02/2022,ISERE,38,84,38LACHAPELLEDESURIEU,38077
M.,GUILLUY,Alain,Maire,Le Moutaret,Isère,POUTOU Philippe,03/02/2022,ISERE,38,84,38LEMOUTARET,38268
M.,COHARD,Roger,Maire,Le Cheylas,Isère,ROUSSEL Fabien,03/02/2022,ISERE,38,84,38LECHEYLAS,38100
