Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,GREMILLON,Alain,Maire,Lombron,Sarthe,MACRON Emmanuel,01/02/2022,SARTHE,72,52,72LOMBRON,72165
M.,PICHEREAU,Damien,Député,1ère circonscription,Sarthe,MACRON Emmanuel,01/02/2022,SARTHE,72,52,72ERECIRCONSCRIPTION,
M.,TAVEL,Matthias,Conseiller régional,Pays De La Loire,Sarthe,MÉLENCHON Jean-Luc,01/02/2022,SARTHE,72,52,72PAYSDELALOIRE,
M.,CHABRERIE,Michel,Maire,Meurcé,Sarthe,DUPONT-AIGNAN Nicolas,03/02/2022,SARTHE,72,52,72MEURCE,72194
M.,COZIC,Thierry,Sénateur,,Sarthe,HIDALGO Anne,03/02/2022,SARTHE,72,52,72,
Mme,TAFFOREAU-HARDY,Christine,Conseillère régionale,Pays De La Loire,Sarthe,HIDALGO Anne,03/02/2022,SARTHE,72,52,72PAYSDELALOIRE,
Mme,TOLMONT,Sylvie,Députée,4ème circonscription,Sarthe,HIDALGO Anne,03/02/2022,SARTHE,72,52,72EMECIRCONSCRIPTION,
M.,CHESNEAU,Pascal,Maire,Doucelles,Sarthe,LASSALLE Jean,03/02/2022,SARTHE,72,52,72DOUCELLES,72120
M.,CHOTARD,Christian,Maire,Pirmil,Sarthe,LASSALLE Jean,03/02/2022,SARTHE,72,52,72PIRMIL,72237
M.,ASSIER,Denis,Maire,Ancinnes,Sarthe,MACRON Emmanuel,03/02/2022,SARTHE,72,52,72ANCINNES,72005
M.,BRETEAU,Franck,Maire,Saint-Georges-du-Bois,Sarthe,MACRON Emmanuel,03/02/2022,SARTHE,72,52,72SAINTGEORGESDUBOIS,72280
Mme,FONTENEL-PERSONNE,Pascale,Députée,3ème circonscription,Sarthe,MACRON Emmanuel,03/02/2022,SARTHE,72,52,72EMECIRCONSCRIPTION,
M.,LEBRETON,Pascal,Maire,Pezé-le-Robert,Sarthe,MACRON Emmanuel,03/02/2022,SARTHE,72,52,72PEZELEROBERT,72234
M.,FABUREL,Luc Marie,Maire,Fillé,Sarthe,MÉLENCHON Jean-Luc,03/02/2022,SARTHE,72,52,72FILLE,72133
M.,MONGELLA,Arnaud,Maire,Connerré,Sarthe,MÉLENCHON Jean-Luc,03/02/2022,SARTHE,72,52,72CONNERRE,72090
Mme,BROSSET,Marie-Pierre,Conseillère départementale,,Sarthe,PÉCRESSE Valérie,03/02/2022,SARTHE,72,52,72,
