Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,FALCO,Hubert,Maire,Toulon,Var,MACRON Emmanuel,01/02/2022,VAR,83,93,83TOULON,83137
M.,LONGOUR,Jean-Luc,Maire,Le Cannet-des-Maures,Var,MACRON Emmanuel,01/02/2022,VAR,83,93,83LECANNETDESMAURES,83031
M.,ALBERTINI,Thierry,Maire,La Valette-du-Var,Var,PÉCRESSE Valérie,01/02/2022,VAR,83,93,83LAVALETTEDUVAR,83144
M.,ARIZZI,François,Maire,Bormes-les-Mimosas,Var,MACRON Emmanuel,03/02/2022,VAR,83,93,83BORMESLESMIMOSAS,83019
M.,GERARDIN,Nicolas,Maire,Solliès-Ville,Var,MACRON Emmanuel,03/02/2022,VAR,83,93,83SOLLIESVILLE,83132
Mme,MUSCHOTTI,Cécile,Députée,2ème circonscription,Var,MACRON Emmanuel,03/02/2022,VAR,83,93,83EMECIRCONSCRIPTION,
M.,MUSSO,Ange,Maire,Le Revest-les-Eaux,Var,MACRON Emmanuel,03/02/2022,VAR,83,93,83LEREVESTLESEAUX,83103
M.,LAVAL,Stéphane,Maire,Trigance,Var,MÉLENCHON Jean-Luc,03/02/2022,VAR,83,93,83TRIGANCE,83142
M.,CONSTANS,Jean-Michel,Maire,Tourves,Var,PÉCRESSE Valérie,03/02/2022,VAR,83,93,83TOURVES,83140
M.,FABRE,Gérard,Maire,Garéoult,Var,PÉCRESSE Valérie,03/02/2022,VAR,83,93,83GAREOULT,83064
M.,GIRAN,Jean-Pierre,Maire,Hyères,Var,PÉCRESSE Valérie,03/02/2022,VAR,83,93,83HYERES,83069
M.,LANSADE,Marc Etienne,Maire,Cogolin,Var,ZEMMOUR Éric,03/02/2022,VAR,83,93,83COGOLIN,83042
M.,CHIOCCA,Christophe,Conseiller départemental,,Var,LE PEN Marine,08/02/2022,VAR,83,93,83,
Mme,FIOL,Muriel,Conseillère régionale,Provence-Alpes-Cote D'Azur,Var,LE PEN Marine,08/02/2022,VAR,83,93,83PROVENCEALPESCOTEDAZUR,
Mme,HOUSSAYS,Coline,Conseillère régionale,Provence-Alpes-Cote D'Azur,Var,LE PEN Marine,08/02/2022,VAR,83,93,83PROVENCEALPESCOTEDAZUR,
Mme,LANCINE,Brigitte,Conseillère régionale,Provence-Alpes-Cote D'Azur,Var,LE PEN Marine,08/02/2022,VAR,83,93,83PROVENCEALPESCOTEDAZUR,
Mme,LAUVARD,Sonia,Conseillère départementale,,Var,LE PEN Marine,08/02/2022,VAR,83,93,83,
M.,RACHLINE,David,Maire,Fréjus,Var,LE PEN Marine,08/02/2022,VAR,83,93,83FREJUS,83061
Mme,GOMEZ-BASSAC,Valérie,Députée,6ème circonscription,Var,MACRON Emmanuel,08/02/2022,VAR,83,93,83EMECIRCONSCRIPTION,
Mme,MONDONE,Valérie,Conseillère départementale,,Var,MACRON Emmanuel,08/02/2022,VAR,83,93,83,
Mme,VIORT,Marjorie,Maire,Le Thoronet,Var,MACRON Emmanuel,08/02/2022,VAR,83,93,83LETHORONET,83136
M.,ALEMAGNA,Claude,Conseiller régional,Provence-Alpes-Cote D'Azur,Var,PÉCRESSE Valérie,08/02/2022,VAR,83,93,83PROVENCEALPESCOTEDAZUR,
Mme,AUDIBERT,Edith,Députée,3ème circonscription,Var,PÉCRESSE Valérie,08/02/2022,VAR,83,93,83EMECIRCONSCRIPTION,
Mme,BERNARDINI,Véronique,Conseillère départementale,,Var,PÉCRESSE Valérie,08/02/2022,VAR,83,93,83,
M.,DE CANSON,François,Maire,La Londe-les-Maures,Var,PÉCRESSE Valérie,08/02/2022,VAR,83,93,83LALONDELESMAURES,83071
Mme,DUMONT,Françoise,Sénatrice,,Var,PÉCRESSE Valérie,08/02/2022,VAR,83,93,83,
M.,MASSON,Jean-Louis,Maire,La Garde,Var,PÉCRESSE Valérie,08/02/2022,VAR,83,93,83LAGARDE,83062
M.,MULÉ,Joseph,Conseiller départemental,,Var,PÉCRESSE Valérie,08/02/2022,VAR,83,93,83,
M.,PALMIERI,Yves,Maire,La Farlède,Var,PÉCRESSE Valérie,08/02/2022,VAR,83,93,83LAFARLEDE,83054
Mme,PONCHON,Marie-Laure,Conseillère départementale,,Var,PÉCRESSE Valérie,08/02/2022,VAR,83,93,83,
