Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,GERVILLE-REACHE,Fabrice,Maire,Nexon,Haute-Vienne,HIDALGO Anne,01/02/2022,HAUTEVIENNE,87,75,87NEXON,87106
Mme,BEAUDOUIN-HUBIERE,Sophie,Députée,1ère circonscription,Haute-Vienne,MACRON Emmanuel,01/02/2022,HAUTEVIENNE,87,75,87ERECIRCONSCRIPTION,
Mme,LANNETTE MICHAUT,Vanessa,Maire,Vayres,Haute-Vienne,ZEMMOUR Éric,01/02/2022,HAUTEVIENNE,87,75,87VAYRES,87199
Mme,ACHARD,Sylvie,Maire,Saint-Martin-le-Vieux,Haute-Vienne,HIDALGO Anne,03/02/2022,HAUTEVIENNE,87,75,87SAINTMARTINLEVIEUX,87166
M.,AUZEMERY,Alain,Président d'un EPCI à fiscalité propre,CC Elan Limousin Avenir Nature,Haute-Vienne,HIDALGO Anne,03/02/2022,HAUTEVIENNE,87,75,87CCELANLIMOUSINAVENIRNATURE,
Mme,BRIQUET,Isabelle,Sénatrice,,Haute-Vienne,HIDALGO Anne,03/02/2022,HAUTEVIENNE,87,75,87,
M.,ESTRADE,Jean-Pierre,Maire,Saint-Martin-Terressus,Haute-Vienne,HIDALGO Anne,03/02/2022,HAUTEVIENNE,87,75,87SAINTMARTINTERRESSUS,87167
M.,FAUCHER,Alain,Maire,La Geneytouse,Haute-Vienne,HIDALGO Anne,03/02/2022,HAUTEVIENNE,87,75,87LAGENEYTOUSE,87070
M.,GERAUDIE,Ludovic,Maire,Le Palais-sur-Vienne,Haute-Vienne,HIDALGO Anne,03/02/2022,HAUTEVIENNE,87,75,87LEPALAISSURVIENNE,87113
M.,LEBLOIS,Jean-Claude,Conseiller départemental,,Haute-Vienne,HIDALGO Anne,03/02/2022,HAUTEVIENNE,87,75,87,
M.,NOUHAUD,Jean-Louis,Conseiller départemental,,Haute-Vienne,HIDALGO Anne,03/02/2022,HAUTEVIENNE,87,75,87,
M.,RAYMONDAUD,Yves,Conseiller départemental,,Haute-Vienne,HIDALGO Anne,03/02/2022,HAUTEVIENNE,87,75,87,
M.,REDON-SARRAZY,Christian,Sénateur,,Haute-Vienne,HIDALGO Anne,03/02/2022,HAUTEVIENNE,87,75,87,
Mme,ROTZLER,Sandrine,Conseillère départementale,,Haute-Vienne,HIDALGO Anne,03/02/2022,HAUTEVIENNE,87,75,87,
Mme,YILDIRIM,Gülsen,Conseillère départementale,,Haute-Vienne,HIDALGO Anne,03/02/2022,HAUTEVIENNE,87,75,87,
M.,GRANCOING,Bruno,Maire,Saint-Auvent,Haute-Vienne,MACRON Emmanuel,03/02/2022,HAUTEVIENNE,87,75,87SAINTAUVENT,87135
M.,JANICOT,Philippe,Maire,Boisseuil,Haute-Vienne,MACRON Emmanuel,03/02/2022,HAUTEVIENNE,87,75,87BOISSEUIL,87019
M.,LACROIX,Philippe,Maire,Oradour-sur-Glane,Haute-Vienne,MACRON Emmanuel,03/02/2022,HAUTEVIENNE,87,75,87ORADOURSURGLANE,87110
M.,COMPAIN,Claude,Maire,Peyrilhac,Haute-Vienne,MÉLENCHON Jean-Luc,03/02/2022,HAUTEVIENNE,87,75,87PEYRILHAC,87118
M.,THOMASSON,Francis,Maire,Jourgnac,Haute-Vienne,MÉLENCHON Jean-Luc,03/02/2022,HAUTEVIENNE,87,75,87JOURGNAC,87081
M.,ALLARD,Pierre,Conseiller départemental,,Haute-Vienne,ROUSSEL Fabien,03/02/2022,HAUTEVIENNE,87,75,87,
M.,MUZETTE,Thierry,Maire,Sainte-Anne-Saint-Priest,Haute-Vienne,ROUSSEL Fabien,03/02/2022,HAUTEVIENNE,87,75,87SAINTEANNESAINTPRIEST,87134
M.,RIGOUT,Jean-Yves,Maire,Veyrac,Haute-Vienne,ROUSSEL Fabien,03/02/2022,HAUTEVIENNE,87,75,87VEYRAC,87202
M.,BARRIERE,Jean-Paul,Maire délégué d'une commune associée ou d'une commune déléguée,Val d'Issoire,Haute-Vienne,ZEMMOUR Éric,03/02/2022,HAUTEVIENNE,87,75,87VALDISSOIRE,87097
M.,GUIBERT,Philippe,Maire,Dompierre-les-Églises,Haute-Vienne,ZEMMOUR Éric,03/02/2022,HAUTEVIENNE,87,75,87DOMPIERRELESEGLISES,87057
