Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,BASCOUR,Thierry,Maire,Buire-au-Bois,Pas-de-Calais,ARTHAUD Nathalie,01/02/2022,PASDECALAIS,62,32,62BUIREAUBOIS,62182
M.,WELELE,Patrice,Maire,Morval,Pas-de-Calais,ARTHAUD Nathalie,01/02/2022,PASDECALAIS,62,32,62MORVAL,62593
Mme,POULAIN,Maryse,Conseillère départementale,,Pas-de-Calais,LE PEN Marine,01/02/2022,PASDECALAIS,62,32,62,
M.,DECOSTER,François,Maire,Saint-Omer,Pas-de-Calais,MACRON Emmanuel,01/02/2022,PASDECALAIS,62,32,62SAINTOMER,62765
Mme,DEPREZ-AUDEBERT,Marguerite,Députée,9ème circonscription,Pas-de-Calais,MACRON Emmanuel,01/02/2022,PASDECALAIS,62,32,62EMECIRCONSCRIPTION,
M.,DESFACHELLE,Nicolas,Maire,Saint-Laurent-Blangy,Pas-de-Calais,MACRON Emmanuel,01/02/2022,PASDECALAIS,62,32,62SAINTLAURENTBLANGY,62753
Mme,MAQUET,Jacqueline,Députée,2ème circonscription,Pas-de-Calais,MACRON Emmanuel,01/02/2022,PASDECALAIS,62,32,62EMECIRCONSCRIPTION,
M.,PONT,Jean-Pierre,Député,5ème circonscription,Pas-de-Calais,MACRON Emmanuel,01/02/2022,PASDECALAIS,62,32,62EMECIRCONSCRIPTION,
Mme,JACQUET,Michèle,Conseillère départementale,,Pas-de-Calais,MÉLENCHON Jean-Luc,01/02/2022,PASDECALAIS,62,32,62,
M.,PICHONNIER,Nicolas,Maire,Rimboval,Pas-de-Calais,PÉCRESSE Valérie,01/02/2022,PASDECALAIS,62,32,62RIMBOVAL,62710
Mme,APOURCEAU-POLY,Cathy,Sénatrice,,Pas-de-Calais,ROUSSEL Fabien,01/02/2022,PASDECALAIS,62,32,62,
M.,PEDOWSKI,Christian,Maire,Sallaumines,Pas-de-Calais,ROUSSEL Fabien,01/02/2022,PASDECALAIS,62,32,62SALLAUMINES,62771
M.,DESCHARLES,Jean-Claude,Maire,Saint-Josse,Pas-de-Calais,ARTHAUD Nathalie,03/02/2022,PASDECALAIS,62,32,62SAINTJOSSE,62752
M.,GAUDUIN,Jean-Claude,Maire,Waben,Pas-de-Calais,ARTHAUD Nathalie,03/02/2022,PASDECALAIS,62,32,62WABEN,62866
M.,LALISSE,Michel,Maire,Metz-en-Couture,Pas-de-Calais,ARTHAUD Nathalie,03/02/2022,PASDECALAIS,62,32,62METZENCOUTURE,62572
M.,COUSIN,Philippe,Maire,Écuires,Pas-de-Calais,DUPONT-AIGNAN Nicolas,03/02/2022,PASDECALAIS,62,32,62ECUIRES,62289
M.,DELLA FRANCA,Marcello,Maire,Montigny-en-Gohelle,Pas-de-Calais,HIDALGO Anne,03/02/2022,PASDECALAIS,62,32,62MONTIGNYENGOHELLE,62587
M.,DUPORGE,Laurent,Maire,Liévin,Pas-de-Calais,HIDALGO Anne,03/02/2022,PASDECALAIS,62,32,62LIEVIN,62510
M.,HERDUIN,Aimé,Maire,Carly,Pas-de-Calais,HIDALGO Anne,03/02/2022,PASDECALAIS,62,32,62CARLY,62214
Mme,HOCHART,Donata,Maire,Fouquières-lès-Lens,Pas-de-Calais,HIDALGO Anne,03/02/2022,PASDECALAIS,62,32,62FOUQUIERESLESLENS,62351
M.,KEMEL,Philippe,Maire,Carvin,Pas-de-Calais,HIDALGO Anne,03/02/2022,PASDECALAIS,62,32,62CARVIN,62215
M.,LEMAIRE,François,Maire,Bully-les-Mines,Pas-de-Calais,HIDALGO Anne,03/02/2022,PASDECALAIS,62,32,62BULLYLESMINES,62186
Mme,BOMMART,Émilie,Conseillère régionale,Hauts-De-France,Pas-de-Calais,LE PEN Marine,03/02/2022,PASDECALAIS,62,32,62HAUTSDEFRANCE,
M.,FRAPPE,Thierry,Maire délégué d'une commune associée ou d'une commune déléguée,Bruay-la-Buissière,Pas-de-Calais,LE PEN Marine,03/02/2022,PASDECALAIS,62,32,62BRUAYLABUISSIERE,62178
M.,PAJOT,Ludovic,Maire,Bruay-la-Buissière,Pas-de-Calais,LE PEN Marine,03/02/2022,PASDECALAIS,62,32,62BRUAYLABUISSIERE,62178
M.,DEGREVE,Hubert,Maire,Tubersent,Pas-de-Calais,MACRON Emmanuel,03/02/2022,PASDECALAIS,62,32,62TUBERSENT,62832
Mme,GAILLARD,Ingrid,Maire,Flers,Pas-de-Calais,MACRON Emmanuel,03/02/2022,PASDECALAIS,62,32,62FLERS,62337
M.,MALFAIT,Alexandre,Conseiller départemental,,Pas-de-Calais,MACRON Emmanuel,03/02/2022,PASDECALAIS,62,32,62,
M.,POTTERIE,Benoît,Député,8ème circonscription,Pas-de-Calais,MACRON Emmanuel,03/02/2022,PASDECALAIS,62,32,62EMECIRCONSCRIPTION,
M.,THERET,Jean-François,Maire,Frévent,Pas-de-Calais,MACRON Emmanuel,03/02/2022,PASDECALAIS,62,32,62FREVENT,62361
M.,DUPONT,Hervé,Maire,Enquin-lez-Guinegatte,Pas-de-Calais,MÉLENCHON Jean-Luc,03/02/2022,PASDECALAIS,62,32,62ENQUINLEZGUINEGATTE,62295
M.,PICQUET,Frédéric,Maire délégué d'une commune associée ou d'une commune déléguée,Enquin-lez-Guinegatte,Pas-de-Calais,MÉLENCHON Jean-Luc,03/02/2022,PASDECALAIS,62,32,62ENQUINLEZGUINEGATTE,62295
M.,BACHELET,Claude,Conseiller départemental,,Pas-de-Calais,PÉCRESSE Valérie,03/02/2022,PASDECALAIS,62,32,62,
Mme,DELAIRE,Marie-Noëlle,Conseillère régionale,Hauts-De-France,Pas-de-Calais,PÉCRESSE Valérie,03/02/2022,PASDECALAIS,62,32,62HAUTSDEFRANCE,
Mme,DHIFALLAH,Mabrouka,Conseillère régionale,Hauts-De-France,Pas-de-Calais,PÉCRESSE Valérie,03/02/2022,PASDECALAIS,62,32,62HAUTSDEFRANCE,
M.,FASQUELLE,Daniel,Maire,Le Touquet-Paris-Plage,Pas-de-Calais,PÉCRESSE Valérie,03/02/2022,PASDECALAIS,62,32,62LETOUQUETPARISPLAGE,62826
M.,GIBSON,Pierre-Emmanuel,Conseiller régional,Hauts-De-France,Pas-de-Calais,PÉCRESSE Valérie,03/02/2022,PASDECALAIS,62,32,62HAUTSDEFRANCE,
Mme,MALIAR,Faustine,Conseillère régionale,Hauts-De-France,Pas-de-Calais,PÉCRESSE Valérie,03/02/2022,PASDECALAIS,62,32,62HAUTSDEFRANCE,
M.,THOMAS,Marc,Maire,Moulle,Pas-de-Calais,PÉCRESSE Valérie,03/02/2022,PASDECALAIS,62,32,62MOULLE,62595
M.,BARROIS,Pierre,Maire,Hendecourt-lès-Ransart,Pas-de-Calais,POUTOU Philippe,03/02/2022,PASDECALAIS,62,32,62HENDECOURTLESRANSART,62425
M.,POILLION,Mickaël,Maire,Héricourt,Pas-de-Calais,POUTOU Philippe,03/02/2022,PASDECALAIS,62,32,62HERICOURT,62433
Mme,CUVILLIER,Valérie,Maire,Rouvroy,Pas-de-Calais,ROUSSEL Fabien,03/02/2022,PASDECALAIS,62,32,62ROUVROY,62724
M.,CZERWINSKI,Bernard,Maire,Drocourt,Pas-de-Calais,ROUSSEL Fabien,03/02/2022,PASDECALAIS,62,32,62DROCOURT,62277
M.,DUBREUCQ,Alain,Maire,Sains-en-Gohelle,Pas-de-Calais,ROUSSEL Fabien,03/02/2022,PASDECALAIS,62,32,62SAINSENGOHELLE,62737
M.,LEGRAND,Jean Michel,Maire,Auchy-les-Mines,Pas-de-Calais,ROUSSEL Fabien,03/02/2022,PASDECALAIS,62,32,62AUCHYLESMINES,62051
