Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
Mme,CASCARINO,Sophie,Conseillère régionale,Pays De La Loire,Loire-Atlantique,MACRON Emmanuel,01/02/2022,LOIREATLANTIQUE,44,52,44PAYSDELALOIRE,
M.,COUDRIAU,Bernard,Maire,Saint-Lumine-de-Coutais,Loire-Atlantique,MACRON Emmanuel,01/02/2022,LOIREATLANTIQUE,44,52,44SAINTLUMINEDECOUTAIS,44174
Mme,ERRANTE,Sophie,Députée,10ème circonscription,Loire-Atlantique,MACRON Emmanuel,01/02/2022,LOIREATLANTIQUE,44,52,44EMECIRCONSCRIPTION,
Mme,MAHÉ,Véronique,Conseillère régionale,Pays De La Loire,Loire-Atlantique,ROUSSEL Fabien,01/02/2022,LOIREATLANTIQUE,44,52,44PAYSDELALOIRE,
M.,GARREAU,Jacques,Maire,Bouaye,Loire-Atlantique,HIDALGO Anne,03/02/2022,LOIREATLANTIQUE,44,52,44BOUAYE,44018
Mme,GRELAUD,Carole,Maire,Couëron,Loire-Atlantique,HIDALGO Anne,03/02/2022,LOIREATLANTIQUE,44,52,44COUERON,44047
M.,MENARD,Michel,Conseiller départemental,,Loire-Atlantique,HIDALGO Anne,03/02/2022,LOIREATLANTIQUE,44,52,44,
M.,VIOLLAND,Thierry,Conseiller régional,Pays De La Loire,Loire-Atlantique,HIDALGO Anne,03/02/2022,LOIREATLANTIQUE,44,52,44PAYSDELALOIRE,
Mme,ACCARION,Ombeline,Conseillère départementale,,Loire-Atlantique,JADOT Yannick,03/02/2022,LOIREATLANTIQUE,44,52,44,
Mme,ROUGERON,Gaëlle,Conseillère régionale,Pays De La Loire,Loire-Atlantique,JADOT Yannick,03/02/2022,LOIREATLANTIQUE,44,52,44PAYSDELALOIRE,
M.,BRUHAY,Didier,Maire,Treffieux,Loire-Atlantique,LASSALLE Jean,03/02/2022,LOIREATLANTIQUE,44,52,44TREFFIEUX,44208
Mme,BRUNET,Anne-France,Députée,3ème circonscription,Loire-Atlantique,MACRON Emmanuel,03/02/2022,LOIREATLANTIQUE,44,52,44EMECIRCONSCRIPTION,
M.,DE RUGY,François,Député,1ère circonscription,Loire-Atlantique,MACRON Emmanuel,03/02/2022,LOIREATLANTIQUE,44,52,44ERECIRCONSCRIPTION,
Mme,DUFEU SCHUBERT,Audrey,Députée,8ème circonscription,Loire-Atlantique,MACRON Emmanuel,03/02/2022,LOIREATLANTIQUE,44,52,44EMECIRCONSCRIPTION,
M.,GEISMAR,Luc,Député,5ème circonscription,Loire-Atlantique,MACRON Emmanuel,03/02/2022,LOIREATLANTIQUE,44,52,44EMECIRCONSCRIPTION,
M.,HAURY,Yannick,Député,9ème circonscription,Loire-Atlantique,MACRON Emmanuel,03/02/2022,LOIREATLANTIQUE,44,52,44EMECIRCONSCRIPTION,
M.,AUFORT,Claude,Maire,Trignac,Loire-Atlantique,MÉLENCHON Jean-Luc,03/02/2022,LOIREATLANTIQUE,44,52,44TRIGNAC,44210
Mme,LALANDE,Sabine,Conseillère régionale,Pays De La Loire,Loire-Atlantique,MÉLENCHON Jean-Luc,03/02/2022,LOIREATLANTIQUE,44,52,44PAYSDELALOIRE,
M.,BAINVEL,Julien,Conseiller régional,Pays De La Loire,Loire-Atlantique,PÉCRESSE Valérie,03/02/2022,LOIREATLANTIQUE,44,52,44PAYSDELALOIRE,
M.,BOBLIN,Johann,Conseiller régional,Pays De La Loire,Loire-Atlantique,PÉCRESSE Valérie,03/02/2022,LOIREATLANTIQUE,44,52,44PAYSDELALOIRE,
M.,DEJOIE,Laurent,Conseiller régional,Pays De La Loire,Loire-Atlantique,PÉCRESSE Valérie,03/02/2022,LOIREATLANTIQUE,44,52,44PAYSDELALOIRE,
M.,GUILLOT,François,Maire,Gétigné,Loire-Atlantique,PÉCRESSE Valérie,03/02/2022,LOIREATLANTIQUE,44,52,44GETIGNE,44063
Mme,HUGUES,Claire,Conseillère régionale,Pays De La Loire,Loire-Atlantique,PÉCRESSE Valérie,03/02/2022,LOIREATLANTIQUE,44,52,44PAYSDELALOIRE,
Mme,IMPERIALE,Sandra,Conseillère régionale,Pays De La Loire,Loire-Atlantique,PÉCRESSE Valérie,03/02/2022,LOIREATLANTIQUE,44,52,44PAYSDELALOIRE,
Mme,LUQUIAU,Charlotte,Conseillère départementale,,Loire-Atlantique,PÉCRESSE Valérie,03/02/2022,LOIREATLANTIQUE,44,52,44,
Mme,PARAGOT,Agnès,Conseillère départementale,,Loire-Atlantique,PÉCRESSE Valérie,03/02/2022,LOIREATLANTIQUE,44,52,44,
M.,BERTHELOT,Anthony,Maire,Indre,Loire-Atlantique,TAUBIRA Christiane,03/02/2022,LOIREATLANTIQUE,44,52,44INDRE,44074
M.,NEAU,Hervé,Maire,Rezé,Loire-Atlantique,TAUBIRA Christiane,03/02/2022,LOIREATLANTIQUE,44,52,44REZE,44143
M.,BOURDIN,Jacques,Maire,Sainte-Anne-sur-Brivet,Loire-Atlantique,ARTHAUD Nathalie,08/02/2022,LOIREATLANTIQUE,44,52,44SAINTEANNESURBRIVET,44152
M.,RABU,Daniel,Maire,Saint-Aubin-des-Châteaux,Loire-Atlantique,ARTHAUD Nathalie,08/02/2022,LOIREATLANTIQUE,44,52,44SAINTAUBINDESCHATEAUX,44153
M.,SIMONEAU,Louis,Maire,Ruffigné,Loire-Atlantique,DUPONT-AIGNAN Nicolas,08/02/2022,LOIREATLANTIQUE,44,52,44RUFFIGNE,44148
M.,BOLO,Pascal,Conseiller départemental,,Loire-Atlantique,HIDALGO Anne,08/02/2022,LOIREATLANTIQUE,44,52,44,
M.,HERVOCHON,Freddy,Conseiller départemental,,Loire-Atlantique,HIDALGO Anne,08/02/2022,LOIREATLANTIQUE,44,52,44,
Mme,MAHE,Lydie,Conseillère départementale,,Loire-Atlantique,HIDALGO Anne,08/02/2022,LOIREATLANTIQUE,44,52,44,
Mme,MEIGNEN,Lydia,Conseillère départementale,,Loire-Atlantique,HIDALGO Anne,08/02/2022,LOIREATLANTIQUE,44,52,44,
Mme,ROLLAND,Johanna,Maire,Nantes,Loire-Atlantique,HIDALGO Anne,08/02/2022,LOIREATLANTIQUE,44,52,44NANTES,44109
M.,SAMZUN,David,Maire,Saint-Nazaire,Loire-Atlantique,HIDALGO Anne,08/02/2022,LOIREATLANTIQUE,44,52,44SAINTNAZAIRE,44184
M.,SECHET,Jean-Luc,Conseiller départemental,,Loire-Atlantique,HIDALGO Anne,08/02/2022,LOIREATLANTIQUE,44,52,44,
M.,VAUGRENARD,Yannick,Sénateur,,Loire-Atlantique,HIDALGO Anne,08/02/2022,LOIREATLANTIQUE,44,52,44,
M.,BESSIERE,Ugo,Conseiller départemental,,Loire-Atlantique,JADOT Yannick,08/02/2022,LOIREATLANTIQUE,44,52,44,
M.,DUBOST,Laurent,Conseiller départemental,,Loire-Atlantique,JADOT Yannick,08/02/2022,LOIREATLANTIQUE,44,52,44,
Mme,GIRARDOT MOITIÉ,Chloé,Conseillère départementale,,Loire-Atlantique,JADOT Yannick,08/02/2022,LOIREATLANTIQUE,44,52,44,
Mme,HAMEAU,Pascale,Conseillère régionale,Pays De La Loire,Loire-Atlantique,JADOT Yannick,08/02/2022,LOIREATLANTIQUE,44,52,44PAYSDELALOIRE,
M.,RAUX,Jean-Claude,Maire,Saffré,Loire-Atlantique,JADOT Yannick,08/02/2022,LOIREATLANTIQUE,44,52,44SAFFRE,44149
M.,CHOUBRAC,Bertrand,Conseiller départemental,,Loire-Atlantique,MACRON Emmanuel,08/02/2022,LOIREATLANTIQUE,44,52,44,
Mme,OPPELT,Valérie,Députée,2ème circonscription,Loire-Atlantique,MACRON Emmanuel,08/02/2022,LOIREATLANTIQUE,44,52,44EMECIRCONSCRIPTION,
M.,SANCHEZ,Fabrice,Maire,Massérac,Loire-Atlantique,MACRON Emmanuel,08/02/2022,LOIREATLANTIQUE,44,52,44MASSERAC,44092
M.,LE TOLGUENEC,Alain,Maire,Fercé,Loire-Atlantique,MÉLENCHON Jean-Luc,08/02/2022,LOIREATLANTIQUE,44,52,44FERCE,44058
M.,AMAILLAND,Rodolphe,Maire,Vertou,Loire-Atlantique,PÉCRESSE Valérie,08/02/2022,LOIREATLANTIQUE,44,52,44VERTOU,44215
M.,DEVILLE,Thierry,Conseiller départemental,,Loire-Atlantique,PÉCRESSE Valérie,08/02/2022,LOIREATLANTIQUE,44,52,44,
Mme,GOSLIN,Sylvie,Conseillère départementale,,Loire-Atlantique,PÉCRESSE Valérie,08/02/2022,LOIREATLANTIQUE,44,52,44,
M.,GUYOT,François,Conseiller régional,Pays De La Loire,Loire-Atlantique,PÉCRESSE Valérie,08/02/2022,LOIREATLANTIQUE,44,52,44PAYSDELALOIRE,
M.,HUNAULT,Alain,Maire,Châteaubriant,Loire-Atlantique,PÉCRESSE Valérie,08/02/2022,LOIREATLANTIQUE,44,52,44CHATEAUBRIANT,44036
Mme,LE BIHAN,Laurence,Conseillère départementale,,Loire-Atlantique,PÉCRESSE Valérie,08/02/2022,LOIREATLANTIQUE,44,52,44,
