Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,BRIDEY,Jean-Jacques,Député,7ème circonscription,Val-de-Marne,MACRON Emmanuel,01/02/2022,VALDEMARNE,94,11,94EMECIRCONSCRIPTION,
M.,GOUFFIER-CHA,Guillaume,Député,6ème circonscription,Val-de-Marne,MACRON Emmanuel,01/02/2022,VALDEMARNE,94,11,94EMECIRCONSCRIPTION,
M.,MBAYE,Jean-François,Député,2ème circonscription,Val-de-Marne,MACRON Emmanuel,01/02/2022,VALDEMARNE,94,11,94EMECIRCONSCRIPTION,
M.,BELL-LLOCH,Pierre,Maire,Vitry-sur-Seine,Val-de-Marne,ROUSSEL Fabien,01/02/2022,VALDEMARNE,94,11,94VITRYSURSEINE,94081
M.,CARVOUNAS,Luc,Maire,Alfortville,Val-de-Marne,HIDALGO Anne,03/02/2022,VALDEMARNE,94,11,94ALFORTVILLE,94002
M.,CHARBONNIER,Régis,Maire,Boissy-Saint-Léger,Val-de-Marne,HIDALGO Anne,03/02/2022,VALDEMARNE,94,11,94BOISSYSAINTLEGER,94004
Mme,CHAVANON,Marie,Maire,Fresnes,Val-de-Marne,HIDALGO Anne,03/02/2022,VALDEMARNE,94,11,94FRESNES,94034
Mme,DE COMARMOND,Hélène,Maire,Cachan,Val-de-Marne,HIDALGO Anne,03/02/2022,VALDEMARNE,94,11,94CACHAN,94016
M.,KIENZLEN,Jonathan,Conseiller régional,Île-De-France,Val-de-Marne,HIDALGO Anne,03/02/2022,VALDEMARNE,94,11,94ILEDEFRANCE,
Mme,SANTIAGO,Isabelle,Députée,9ème circonscription,Val-de-Marne,HIDALGO Anne,03/02/2022,VALDEMARNE,94,11,94EMECIRCONSCRIPTION,
M.,DOUSSET,Didier,Maire,Le Plessis-Trévise,Val-de-Marne,MACRON Emmanuel,03/02/2022,VALDEMARNE,94,11,94LEPLESSISTREVISE,94059
Mme,PANOT,Mathilde,Députée,10ème circonscription,Val-de-Marne,MÉLENCHON Jean-Luc,03/02/2022,VALDEMARNE,94,11,94EMECIRCONSCRIPTION,
M.,BEDU,Vincent,Maire,Santeny,Val-de-Marne,PÉCRESSE Valérie,03/02/2022,VALDEMARNE,94,11,94SANTENY,94070
M.,CAMBON,Christian,Sénateur,,Val-de-Marne,PÉCRESSE Valérie,03/02/2022,VALDEMARNE,94,11,94,
Mme,CIUNTU,Marie-Carole,Maire,Sucy-en-Brie,Val-de-Marne,PÉCRESSE Valérie,03/02/2022,VALDEMARNE,94,11,94SUCYENBRIE,94071
M.,GRILLON,Eric,Maire,Ablon-sur-Seine,Val-de-Marne,PÉCRESSE Valérie,03/02/2022,VALDEMARNE,94,11,94ABLONSURSEINE,94001
M.,HERBILLON,Michel,Député,8ème circonscription,Val-de-Marne,PÉCRESSE Valérie,03/02/2022,VALDEMARNE,94,11,94EMECIRCONSCRIPTION,
M.,JEANBRUN,Vincent,Maire,L'Haÿ-les-Roses,Val-de-Marne,PÉCRESSE Valérie,03/02/2022,VALDEMARNE,94,11,94LHAYLESROSES,94038
Mme,LECOUFLE,Françoise,Maire,Limeil-Brévannes,Val-de-Marne,PÉCRESSE Valérie,03/02/2022,VALDEMARNE,94,11,94LIMEILBREVANNES,94044
M.,SEMO,Igor,Maire,Saint-Maurice,Val-de-Marne,PÉCRESSE Valérie,03/02/2022,VALDEMARNE,94,11,94SAINTMAURICE,94069
M.,WEIL,Julien,Maire,Saint-Mandé,Val-de-Marne,PÉCRESSE Valérie,03/02/2022,VALDEMARNE,94,11,94SAINTMANDE,94067
M.,GARZON,Pierre,Maire,Villejuif,Val-de-Marne,ROUSSEL Fabien,03/02/2022,VALDEMARNE,94,11,94VILLEJUIF,94076
M.,ÖZTORUN,Denis,Maire,Bonneuil-sur-Marne,Val-de-Marne,ROUSSEL Fabien,03/02/2022,VALDEMARNE,94,11,94BONNEUILSURMARNE,94011
M.,BESNARD,Samuel,Conseiller départemental,,Val-de-Marne,HIDALGO Anne,08/02/2022,VALDEMARNE,94,11,94,
M.,CHIKOUCHE,Mohamed,Conseiller départemental,,Val-de-Marne,HIDALGO Anne,08/02/2022,VALDEMARNE,94,11,94,
Mme,JEANVOINE,Brigitte,Conseillère départementale,,Val-de-Marne,HIDALGO Anne,08/02/2022,VALDEMARNE,94,11,94,
M.,METAIRIE,Christian,Maire,Arcueil,Val-de-Marne,JADOT Yannick,08/02/2022,VALDEMARNE,94,11,94ARCUEIL,94003
Mme,TAILLE-POLIAN,Sophie Diane,Sénatrice,,Val-de-Marne,JADOT Yannick,08/02/2022,VALDEMARNE,94,11,94,
M.,DESCROZAILLE,Frédéric,Député,1ère circonscription,Val-de-Marne,MACRON Emmanuel,08/02/2022,VALDEMARNE,94,11,94ERECIRCONSCRIPTION,
Mme,PETIT,Maud,Députée,4ème circonscription,Val-de-Marne,MACRON Emmanuel,08/02/2022,VALDEMARNE,94,11,94EMECIRCONSCRIPTION,
M.,SAINT-MARTIN,Laurent,Député,3ème circonscription,Val-de-Marne,MACRON Emmanuel,08/02/2022,VALDEMARNE,94,11,94EMECIRCONSCRIPTION,
Mme,WARGON,Emmanuelle,Conseillère régionale,Île-De-France,Val-de-Marne,MACRON Emmanuel,08/02/2022,VALDEMARNE,94,11,94ILEDEFRANCE,
M.,AMSLER,Jean-Daniel,Conseiller départemental,,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94,
M.,BENISTI,Jacques Alain,Maire,Villiers-sur-Marne,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94VILLIERSSURMARNE,94079
M.,CAPITANIO,Olivier,Conseiller départemental,,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94,
Mme,CARPE,Geneviève,Conseillère départementale,,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94,
M.,CARREZ,Gilles,Député,5ème circonscription,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94EMECIRCONSCRIPTION,
M.,DELL'AGNOLA,Richard,Maire,Thiais,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94THIAIS,94073
M.,DOSNE,Olivier,Maire,Joinville-le-Pont,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94JOINVILLELEPONT,94042
M.,FAURE-SOULET,Jean-Paul,Maire,La Queue-en-Brie,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94LAQUEUEENBRIE,94060
M.,GONZALES,Didier,Maire,Villeneuve-le-Roi,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94VILLENEUVELEROI,94077
Mme,LIBERT-ALBANEL,Charlotte,Maire,Vincennes,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94VINCENNES,94080
M.,MARIA,Romain,Conseiller régional,Île-De-France,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94ILEDEFRANCE,
M.,PANETTA,Tonino,Maire,Choisy-le-Roi,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94CHOISYLEROI,94022
Mme,PARRAIN,Marie France,Maire,Maisons-Alfort,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94MAISONSALFORT,94046
Mme,PROCACCIA,Catherine,Sénatrice,,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94,
Mme,ROYER,Christel,Maire,Le Perreux-sur-Marne,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94LEPERREUXSURMARNE,94058
M.,TRYZNA,Nicolas,Conseiller départemental,,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94,
M.,YAVUZ,Métin,Maire,Valenton,Val-de-Marne,PÉCRESSE Valérie,08/02/2022,VALDEMARNE,94,11,94VALENTON,94074
M.,BESCOND,Nicolas,Conseiller départemental,,Val-de-Marne,ROUSSEL Fabien,08/02/2022,VALDEMARNE,94,11,94,
M.,BOUYSSOU,Philippe,Maire,Ivry-sur-Seine,Val-de-Marne,ROUSSEL Fabien,08/02/2022,VALDEMARNE,94,11,94IVRYSURSEINE,94041
Mme,COHEN,Laurence,Sénatrice,,Val-de-Marne,ROUSSEL Fabien,08/02/2022,VALDEMARNE,94,11,94,
Mme,MUNCK,Flore,Conseillère départementale,,Val-de-Marne,ROUSSEL Fabien,08/02/2022,VALDEMARNE,94,11,94,
M.,PELISSOLO,Antoine,Conseiller départemental,,Val-de-Marne,HIDALGO Anne,10/02/2022,VALDEMARNE,94,11,94,
M.,VEDIE,Arnaud,Maire,Périgny,Val-de-Marne,LASSALLE Jean,10/02/2022,VALDEMARNE,94,11,94PERIGNY,94056
M.,BERRIOS,Sylvain,Maire,Saint-Maur-des-Fossés,Val-de-Marne,PÉCRESSE Valérie,10/02/2022,VALDEMARNE,94,11,94SAINTMAURDESFOSSES,94068
M.,FEMEL,Yvan,Maire,Noiseau,Val-de-Marne,PÉCRESSE Valérie,10/02/2022,VALDEMARNE,94,11,94NOISEAU,94053
M.,HEBBRECHT,Thierry,Conseiller régional,Île-De-France,Val-de-Marne,PÉCRESSE Valérie,10/02/2022,VALDEMARNE,94,11,94ILEDEFRANCE,
M.,MADELIN,Antoine,Conseiller départemental,,Val-de-Marne,PÉCRESSE Valérie,10/02/2022,VALDEMARNE,94,11,94,
Mme,SOL,Josette,Conseillère départementale,,Val-de-Marne,HIDALGO Anne,15/02/2022,VALDEMARNE,94,11,94,
M.,BOURIACHI,Philippe,Conseiller régional,Île-De-France,Val-de-Marne,JADOT Yannick,15/02/2022,VALDEMARNE,94,11,94ILEDEFRANCE,
Mme,PECCOLO,Hélène,Conseillère départementale,,Val-de-Marne,JADOT Yannick,15/02/2022,VALDEMARNE,94,11,94,
Mme,CLAUDE,Jessie,Conseillère régionale,Île-De-France,Val-de-Marne,PÉCRESSE Valérie,15/02/2022,VALDEMARNE,94,11,94ILEDEFRANCE,
Mme,COULON,Laurence,Conseillère départementale,,Val-de-Marne,PÉCRESSE Valérie,15/02/2022,VALDEMARNE,94,11,94,
Mme,DURAND,Chantal,Conseillère départementale,,Val-de-Marne,PÉCRESSE Valérie,15/02/2022,VALDEMARNE,94,11,94,
M.,DUVAUDIER,Michel,Conseiller départemental,,Val-de-Marne,PÉCRESSE Valérie,15/02/2022,VALDEMARNE,94,11,94,
M.,GICQUEL,Hervé,Maire,Charenton-le-Pont,Val-de-Marne,PÉCRESSE Valérie,15/02/2022,VALDEMARNE,94,11,94CHARENTONLEPONT,94018
M.,JEANNE,Laurent,Maire,Champigny-sur-Marne,Val-de-Marne,PÉCRESSE Valérie,15/02/2022,VALDEMARNE,94,11,94CHAMPIGNYSURMARNE,94017
Mme,KORCHEF-LAMBERT,Patricia,Conseillère départementale,,Val-de-Marne,PÉCRESSE Valérie,15/02/2022,VALDEMARNE,94,11,94,
M.,MARTIN,Jacques J P,Maire,Nogent-sur-Marne,Val-de-Marne,PÉCRESSE Valérie,15/02/2022,VALDEMARNE,94,11,94NOGENTSURMARNE,94052
M.,THOREAU,Yves,Maire,Mandres-les-Roses,Val-de-Marne,PÉCRESSE Valérie,15/02/2022,VALDEMARNE,94,11,94MANDRESLESROSES,94047
M.,MORA,Franck,Conseiller départemental,,Val-de-Marne,ROUSSEL Fabien,15/02/2022,VALDEMARNE,94,11,94,
Mme,TORDJMAN,Patricia,Maire,Gentilly,Val-de-Marne,ROUSSEL Fabien,15/02/2022,VALDEMARNE,94,11,94GENTILLY,94037
M.,CATHALA,Laurent,Maire,Créteil,Val-de-Marne,HIDALGO Anne,17/02/2022,VALDEMARNE,94,11,94CRETEIL,94028
M.,DUSSAUSAYE,Gaëtan,Conseiller régional,Île-De-France,Val-de-Marne,LE PEN Marine,17/02/2022,VALDEMARNE,94,11,94ILEDEFRANCE,
Mme,NIASME,Kristell,Conseillère départementale,,Val-de-Marne,PÉCRESSE Valérie,17/02/2022,VALDEMARNE,94,11,94,
M.,BOURDON,Frédéric,Conseiller départemental,,Val-de-Marne,JADOT Yannick,22/02/2022,VALDEMARNE,94,11,94,
M.,BARNAUD,Jean-Pierre,Maire,Chennevières-sur-Marne,Val-de-Marne,PÉCRESSE Valérie,22/02/2022,VALDEMARNE,94,11,94CHENNEVIERESSURMARNE,94019
Mme,BASTIER,Karine,Conseillère départementale,,Val-de-Marne,PÉCRESSE Valérie,22/02/2022,VALDEMARNE,94,11,94,
M.,BAZIN,Paul,Conseiller départemental,,Val-de-Marne,PÉCRESSE Valérie,22/02/2022,VALDEMARNE,94,11,94,
M.,GAUDIN,Philippe,Maire,Villeneuve-Saint-Georges,Val-de-Marne,PÉCRESSE Valérie,22/02/2022,VALDEMARNE,94,11,94VILLENEUVESAINTGEORGES,94078
Mme,NOWAK,Mélanie,Conseillère départementale,,Val-de-Marne,PÉCRESSE Valérie,22/02/2022,VALDEMARNE,94,11,94,
Mme,AGGOUNE,Fatiha,Conseillère départementale,,Val-de-Marne,ROUSSEL Fabien,22/02/2022,VALDEMARNE,94,11,94,
Mme,GERGEN,Colette,Conseillère régionale,Île-De-France,Val-de-Marne,ROUSSEL Fabien,22/02/2022,VALDEMARNE,94,11,94ILEDEFRANCE,
