Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,GAINCHE,Jean-Paul,Maire,Langrolay-sur-Rance,Côtes-d'Armor,ARTHAUD Nathalie,01/02/2022,COTESDARMOR,22,53,22LANGROLAYSURRANCE,22103
M.,KERLOGOT,Yannick,Député,4ème circonscription,Côtes-d'Armor,MACRON Emmanuel,01/02/2022,COTESDARMOR,22,53,22EMECIRCONSCRIPTION,
M.,LAHELLEC,Gérard,Sénateur,,Côtes-d'Armor,ROUSSEL Fabien,01/02/2022,COTESDARMOR,22,53,22,
M.,GUILLERME-JUBIN,Benjamin,Maire,Tramain,Côtes-d'Armor,ARTHAUD Nathalie,03/02/2022,COTESDARMOR,22,53,22TRAMAIN,22341
M.,TRELLU,Ronan,Maire,Saint-Carné,Côtes-d'Armor,ARTHAUD Nathalie,03/02/2022,COTESDARMOR,22,53,22SAINTCARNE,22280
Mme,CHAPPÉ,Fanny,Maire,Paimpol,Côtes-d'Armor,HIDALGO Anne,03/02/2022,COTESDARMOR,22,53,22PAIMPOL,22162
M.,LE GOUX,Philippe,Maire,Pléguien,Côtes-d'Armor,HIDALGO Anne,03/02/2022,COTESDARMOR,22,53,22PLEGUIEN,22177
M.,LOUIS,Guillaume,Conseiller départemental,,Côtes-d'Armor,HIDALGO Anne,03/02/2022,COTESDARMOR,22,53,22,
M.,GUYADER,Gildas,Maire,Saint-Gilles-Pligeaux,Côtes-d'Armor,LASSALLE Jean,03/02/2022,COTESDARMOR,22,53,22SAINTGILLESPLIGEAUX,22294
M.,MELLON (DE),Gérard,Conseiller régional,Bretagne,Côtes-d'Armor,LE PEN Marine,03/02/2022,COTESDARMOR,22,53,22BRETAGNE,
M.,ALLAIN,Olivier,Conseiller régional,Bretagne,Côtes-d'Armor,MACRON Emmanuel,03/02/2022,COTESDARMOR,22,53,22BRETAGNE,
M.,BERVILLE,Hervé,Député,2ème circonscription,Côtes-d'Armor,MACRON Emmanuel,03/02/2022,COTESDARMOR,22,53,22EMECIRCONSCRIPTION,
M.,BOTHOREL,Eric,Député,5ème circonscription,Côtes-d'Armor,MACRON Emmanuel,03/02/2022,COTESDARMOR,22,53,22EMECIRCONSCRIPTION,
M.,JOBIC,Cyril,Maire,Calanhel,Côtes-d'Armor,MACRON Emmanuel,03/02/2022,COTESDARMOR,22,53,22CALANHEL,22024
M.,LEBORGNE,Maxime,Maire,Pluduno,Côtes-d'Armor,MACRON Emmanuel,03/02/2022,COTESDARMOR,22,53,22PLUDUNO,22237
