Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,MARX,Armand,Conseiller régional,Grand Est,Bas-Rhin,JADOT Yannick,01/02/2022,BASRHIN,67,44,67GRANDEST,
Mme,REYS,Caroline,Conseillère régionale,Grand Est,Bas-Rhin,JADOT Yannick,01/02/2022,BASRHIN,67,44,67GRANDEST,
M.,MICHELS,Thierry,Député,1ère circonscription,Bas-Rhin,MACRON Emmanuel,01/02/2022,BASRHIN,67,44,67ERECIRCONSCRIPTION,
M.,RINIE,Jean-Luc,Maire,Rosteig,Bas-Rhin,MACRON Emmanuel,01/02/2022,BASRHIN,67,44,67ROSTEIG,67413
M.,FURST,Laurent,Maire,Molsheim,Bas-Rhin,PÉCRESSE Valérie,01/02/2022,BASRHIN,67,44,67MOLSHEIM,67300
M.,KENNEL,Guy-Dominique,Conseiller régional,Grand Est,Bas-Rhin,PÉCRESSE Valérie,01/02/2022,BASRHIN,67,44,67GRANDEST,
M.,DIERBACH,Guy,Maire,Hirschland,Bas-Rhin,ARTHAUD Nathalie,03/02/2022,BASRHIN,67,44,67HIRSCHLAND,67201
M.,GERBER,Frédy,Maire,Lohr,Bas-Rhin,ARTHAUD Nathalie,03/02/2022,BASRHIN,67,44,67LOHR,67273
M.,OEHLER,Serge,Conseiller départemental,,Bas-Rhin,HIDALGO Anne,03/02/2022,BASRHIN,67,44,67,
Mme,DAMBACH,Danielle,Maire,Schiltigheim,Bas-Rhin,JADOT Yannick,03/02/2022,BASRHIN,67,44,67SCHILTIGHEIM,67447
M.,FERNIQUE,Jacques,Sénateur,,Bas-Rhin,JADOT Yannick,03/02/2022,BASRHIN,67,44,67,
M.,SCHANN,Gerard,Conseiller régional,Grand Est,Bas-Rhin,JADOT Yannick,03/02/2022,BASRHIN,67,44,67GRANDEST,
M.,SIMON,Jean-Luc,Maire,Gottenhouse,Bas-Rhin,JADOT Yannick,03/02/2022,BASRHIN,67,44,67GOTTENHOUSE,67161
M.,SCHEUER,Jean-Louis,Maire,Drulingen,Bas-Rhin,KUZMANOVIC Georges,03/02/2022,BASRHIN,67,44,67DRULINGEN,67105
M.,FAUTH,Christian,Maire,Petersbach,Bas-Rhin,LASSALLE Jean,03/02/2022,BASRHIN,67,44,67PETERSBACH,67370
M.,SCHMITT,Guy,Maire,Soultz-les-Bains,Bas-Rhin,LASSALLE Jean,03/02/2022,BASRHIN,67,44,67SOULTZLESBAINS,67473
M.,THIELEN,Pierre,Maire,Gresswiller,Bas-Rhin,LASSALLE Jean,03/02/2022,BASRHIN,67,44,67GRESSWILLER,67168
M.,BADER,Jean-Claude,Conseiller régional,Grand Est,Bas-Rhin,LE PEN Marine,03/02/2022,BASRHIN,67,44,67GRANDEST,
Mme,ESCHENMANN,Valérie,Conseillère régionale,Grand Est,Bas-Rhin,LE PEN Marine,03/02/2022,BASRHIN,67,44,67GRANDEST,
M.,BATT,Jean-Louis,Maire,Lutzelhouse,Bas-Rhin,MACRON Emmanuel,03/02/2022,BASRHIN,67,44,67LUTZELHOUSE,67276
M.,HERTH,Antoine,Député,5ème circonscription,Bas-Rhin,MACRON Emmanuel,03/02/2022,BASRHIN,67,44,67EMECIRCONSCRIPTION,
M.,LORENTZ,Bruno,Maire,Sommerau,Bas-Rhin,MACRON Emmanuel,03/02/2022,BASRHIN,67,44,67SOMMERAU,67004
M.,PETTERMANN,Didier,Conseiller régional,Grand Est,Bas-Rhin,MACRON Emmanuel,03/02/2022,BASRHIN,67,44,67GRANDEST,
M.,SITZENSTUHL,Charles,Conseiller départemental,,Bas-Rhin,MACRON Emmanuel,03/02/2022,BASRHIN,67,44,67,
M.,STUDER,Bruno,Député,3ème circonscription,Bas-Rhin,MACRON Emmanuel,03/02/2022,BASRHIN,67,44,67EMECIRCONSCRIPTION,
M.,BIEHLER,Jean,Maire,Oberhaslach,Bas-Rhin,PÉCRESSE Valérie,03/02/2022,BASRHIN,67,44,67OBERHASLACH,67342
M.,DORSCHNER,Christian,Maire,Wingen-sur-Moder,Bas-Rhin,PÉCRESSE Valérie,03/02/2022,BASRHIN,67,44,67WINGENSURMODER,67538
M.,HETZEL,Patrick,Député,7ème circonscription,Bas-Rhin,PÉCRESSE Valérie,03/02/2022,BASRHIN,67,44,67EMECIRCONSCRIPTION,
Mme,LEHMANN,Marie-Paule,Conseillère départementale,,Bas-Rhin,PÉCRESSE Valérie,03/02/2022,BASRHIN,67,44,67,
M.,LEYENBERGER,Stéphane,Maire,Saverne,Bas-Rhin,PÉCRESSE Valérie,03/02/2022,BASRHIN,67,44,67SAVERNE,67437
M.,SITTER,Jean-Louis,Maire,Crœttwiller,Bas-Rhin,PÉCRESSE Valérie,03/02/2022,BASRHIN,67,44,67CROETTWILLER,67079
M.,WAHL,Roger,Maire,Wolfskirchen,Bas-Rhin,PÉCRESSE Valérie,03/02/2022,BASRHIN,67,44,67WOLFSKIRCHEN,67552
Mme,LORENTZ,Béatrice,Maire déléguée d'une commune associée ou d'une commune déléguée,Sommerau,Bas-Rhin,ZEMMOUR Éric,03/02/2022,BASRHIN,67,44,67SOMMERAU,67004
M.,MALINGREY,Christophe,Maire,Nordheim,Bas-Rhin,ZEMMOUR Éric,03/02/2022,BASRHIN,67,44,67NORDHEIM,67335
M.,SPIELMANN,Jean-Claude,Maire,Mackenheim,Bas-Rhin,ARTHAUD Nathalie,08/02/2022,BASRHIN,67,44,67MACKENHEIM,67277
