Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,SALLES,Bernard,Maire,Chanac-les-Mines,Corrèze,HIDALGO Anne,01/02/2022,CORREZE,19,75,19CHANACLESMINES,19041
M.,BAUVY,Claude,Maire,Bellechassagne,Corrèze,ARTHAUD Nathalie,03/02/2022,CORREZE,19,75,19BELLECHASSAGNE,19021
M.,PENELOUX,Didier,Maire,Saint-Germain-Lavolps,Corrèze,ARTHAUD Nathalie,03/02/2022,CORREZE,19,75,19SAINTGERMAINLAVOLPS,19206
M.,BERIL,Michel,Maire,La Chapelle-aux-Brocs,Corrèze,LASSALLE Jean,03/02/2022,CORREZE,19,75,19LACHAPELLEAUXBROCS,19043
M.,LESCURE,Philippe,Conseiller départemental,,Corrèze,MACRON Emmanuel,03/02/2022,CORREZE,19,75,19,
M.,BARBE,Patrice,Maire,Davignac,Corrèze,MÉLENCHON Jean-Luc,03/02/2022,CORREZE,19,75,19DAVIGNAC,19071
M.,MADELEINE,Jérôme,Maire,Lostanges,Corrèze,MÉLENCHON Jean-Luc,03/02/2022,CORREZE,19,75,19LOSTANGES,19119
M.,BIVERT,Frédéric,Maire,Liginiac,Corrèze,PÉCRESSE Valérie,03/02/2022,CORREZE,19,75,19LIGINIAC,19113
Mme,GERMANE,Nelly,Maire,Curemonte,Corrèze,PÉCRESSE Valérie,03/02/2022,CORREZE,19,75,19CUREMONTE,19067
M.,SOULIER,Frédéric,Maire,Brive-la-Gaillarde,Corrèze,PÉCRESSE Valérie,03/02/2022,CORREZE,19,75,19BRIVELAGAILLARDE,19031
Mme,MIERMONT,Dominique,Maire,Neuvic,Corrèze,POUTOU Philippe,03/02/2022,CORREZE,19,75,19NEUVIC,19148
M.,ENSERGUEIX,Jean-François,Maire,Grandsaigne,Corrèze,ROUSSEL Fabien,03/02/2022,CORREZE,19,75,19GRANDSAIGNE,19088
Mme,GAUTIER,Stéphanie,Maire,Palisse,Corrèze,ROUSSEL Fabien,03/02/2022,CORREZE,19,75,19PALISSE,19157
M.,LAURENT,André,Maire,Pradines,Corrèze,ROUSSEL Fabien,03/02/2022,CORREZE,19,75,19PRADINES,19168
M.,LECHAT,Jean Pierre,Maire,Saint-Martial-Entraygues,Corrèze,ROUSSEL Fabien,03/02/2022,CORREZE,19,75,19SAINTMARTIALENTRAYGUES,19221
M.,ROCHE,Daniel,Maire,Nonards,Corrèze,ROUSSEL Fabien,03/02/2022,CORREZE,19,75,19NONARDS,19152
Mme,DUFFAUT,Nelly,Maire,Saint-Cyr-la-Roche,Corrèze,ARTHAUD Nathalie,08/02/2022,CORREZE,19,75,19SAINTCYRLAROCHE,19196
M.,MATHES,Pierre,Maire,Sérandon,Corrèze,ARTHAUD Nathalie,08/02/2022,CORREZE,19,75,19SERANDON,19256
Mme,SERRE,Françoise,Conseillère régionale,Nouvelle-Aquitaine,Corrèze,HIDALGO Anne,08/02/2022,CORREZE,19,75,19NOUVELLEAQUITAINE,
Mme,LAURENT,Nathalie,Maire,Saint-Sulpice-les-Bois,Corrèze,KAZIB Anasse,08/02/2022,CORREZE,19,75,19SAINTSULPICELESBOIS,19244
M.,BITARELLE,René,Maire,Camps-Saint-Mathurin-Léobazel,Corrèze,LASSALLE Jean,08/02/2022,CORREZE,19,75,19CAMPSSAINTMATHURINLEOBAZEL,19034
M.,ELOPHE,Valéry,Conseiller régional,Nouvelle-Aquitaine,Corrèze,LE PEN Marine,08/02/2022,CORREZE,19,75,19NOUVELLEAQUITAINE,
M.,JERRETIE,Christophe,Député,1ère circonscription,Corrèze,MACRON Emmanuel,08/02/2022,CORREZE,19,75,19ERECIRCONSCRIPTION,
M.,JAUVION,Bernard,Maire,Favars,Corrèze,MÉLENCHON Jean-Luc,08/02/2022,CORREZE,19,75,19FAVARS,19082
M.,ARFEUILLERE,Christophe,Maire,Ussel,Corrèze,PÉCRESSE Valérie,08/02/2022,CORREZE,19,75,19USSEL,19275
M.,BOUNIE,Julien,Conseiller départemental,,Corrèze,PÉCRESSE Valérie,08/02/2022,CORREZE,19,75,19,
M.,COSTE,Pascal,Conseiller départemental,,Corrèze,PÉCRESSE Valérie,08/02/2022,CORREZE,19,75,19,
M.,DUMAS,Jean Jacques,Maire,Saint-Ybard,Corrèze,PÉCRESSE Valérie,08/02/2022,CORREZE,19,75,19SAINTYBARD,19248
Mme,MEUNIER,Frédérique,Députée,2ème circonscription,Corrèze,PÉCRESSE Valérie,08/02/2022,CORREZE,19,75,19EMECIRCONSCRIPTION,
M.,NOUGEIN,Claude,Sénateur,,Corrèze,PÉCRESSE Valérie,08/02/2022,CORREZE,19,75,19,
M.,POUCHOU,Yves,Maire,Palazinges,Corrèze,PÉCRESSE Valérie,08/02/2022,CORREZE,19,75,19PALAZINGES,19156
M.,BRIGOULET,Jean Marie,Maire délégué d'une commune associée ou d'une commune déléguée,Argentat-sur-Dordogne,Corrèze,ROUSSEL Fabien,08/02/2022,CORREZE,19,75,19ARGENTATSURDORDOGNE,19010
M.,NAUCHE,Philippe,Conseiller régional,Nouvelle-Aquitaine,Corrèze,HIDALGO Anne,10/02/2022,CORREZE,19,75,19NOUVELLEAQUITAINE,
Mme,TROYA,Sonia,Conseillère départementale,,Corrèze,HIDALGO Anne,10/02/2022,CORREZE,19,75,19,
M.,LONGUEVILLE,Philippe,Maire,Saint-Julien-Maumont,Corrèze,KAZIB Anasse,10/02/2022,CORREZE,19,75,19SAINTJULIENMAUMONT,19217
