Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,TORRELL,Christian,Maire,Contrazy,Ariège,ASSELINEAU François,08/02/2022,ARIEGE,09,76,09CONTRAZY,09098
Mme,BUSCA,Ginette,Maire,Montjoie-en-Couserans,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09MONTJOIEENCOUSERANS,09209
Mme,CARRIERE,Sabine,Maire,Ascou,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09ASCOU,09023
M.,CID,Jean-Christophe,Conseiller départemental,,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09,
M.,COURNEIL,Jean-Claude,Maire,Lézat-sur-Lèze,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09LEZATSURLEZE,09167
Mme,ESTEBAN,Martine,Maire,Varilhes,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09VARILHES,09324
M.,FOURCADE,Dominique,Maire,Ax-les-Thermes,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09AXLESTHERMES,09032
Mme,FREYCHE,Muriel,Conseillère départementale,,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09,
M.,LAFFONT,Frédéric Philippe,Maire,Montferrier,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09MONTFERRIER,09206
M.,MELER,Norbert,Maire,Foix,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09FOIX,09122
M.,MICHAU,Jean-Jacques,Sénateur,,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09,
M.,RATON,Olivier,Conseiller départemental,,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09,
Mme,RUMEAU,Véronique,Conseillère départementale,,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09,
M.,SERVAT,Alain,Maire,Ustou,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09USTOU,09322
M.,STROH,Jean Jacques,Maire,Aulos-Sinsat,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09AULOSSINSAT,09296
Mme,TEQUI,Christine,Conseillère départementale,,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09,
Mme,VILAPLANA,Marie-France,Conseillère départementale,,Ariège,HIDALGO Anne,08/02/2022,ARIEGE,09,76,09,
M.,GOUZE,Jean-Claude,Maire,Senconac,Ariège,JADOT Yannick,08/02/2022,ARIEGE,09,76,09SENCONAC,09287
M.,ALOZY,Alban,Maire,Ventenac,Ariège,KAZIB Anasse,08/02/2022,ARIEGE,09,76,09VENTENAC,09327
M.,AUTHIÉ,René Bernard,Maire,Celles,Ariège,LASSALLE Jean,08/02/2022,ARIEGE,09,76,09CELLES,09093
M.,GERAUD,Daniel,Maire,Les Cabannes,Ariège,LASSALLE Jean,08/02/2022,ARIEGE,09,76,09LESCABANNES,09070
M.,MEYNARD,Richard,Maire,Rivèrenert,Ariège,LASSALLE Jean,08/02/2022,ARIEGE,09,76,09RIVERENERT,09247
M.,PETITALOT,Richard,Maire,Lacourt,Ariège,LASSALLE Jean,08/02/2022,ARIEGE,09,76,09LACOURT,09149
M.,SICRE,Maurice,Maire,Axiat,Ariège,LASSALLE Jean,08/02/2022,ARIEGE,09,76,09AXIAT,09031
M.,CAUHAPÉ,Jean-Louis,Maire,Sieuras,Ariège,MÉLENCHON Jean-Luc,08/02/2022,ARIEGE,09,76,09SIEURAS,09294
M.,LAFON,François,Maire,Lercoul,Ariège,MÉLENCHON Jean-Luc,08/02/2022,ARIEGE,09,76,09LERCOUL,09162
M.,LOUBET DIT GAJOL,Michel,Maire,Massat,Ariège,MÉLENCHON Jean-Luc,08/02/2022,ARIEGE,09,76,09MASSAT,09182
M.,SAVARINO,Patrice,Maire,Arrout,Ariège,MÉLENCHON Jean-Luc,08/02/2022,ARIEGE,09,76,09ARROUT,09018
M.,LAFFONT,Hervé Antoine,Maire,Fougax-et-Barrineuf,Ariège,POUTOU Philippe,08/02/2022,ARIEGE,09,76,09FOUGAXETBARRINEUF,09125
M.,LASSALLE,Yvon,Maire,Pailhès,Ariège,ROUSSEL Fabien,08/02/2022,ARIEGE,09,76,09PAILHES,09224
M.,MORETTO,Richard,Maire,Sautel,Ariège,ROUSSEL Fabien,08/02/2022,ARIEGE,09,76,09SAUTEL,09281
Mme,PIQUEMAL,Isabelle,Conseillère régionale,Occitanie,Ariège,ROUSSEL Fabien,08/02/2022,ARIEGE,09,76,09OCCITANIE,
M.,BOY,Francis,Maire,Saint-Ybars,Ariège,HIDALGO Anne,10/02/2022,ARIEGE,09,76,09SAINTYBARS,09277
Mme,CANAL,Nathalie,Conseillère départementale,,Ariège,HIDALGO Anne,10/02/2022,ARIEGE,09,76,09,
M.,COUMES,Raymond,Maire,Mercenac,Ariège,HIDALGO Anne,10/02/2022,ARIEGE,09,76,09MERCENAC,09187
Mme,DESCUNS,Lyliane,Maire,Méras,Ariège,HIDALGO Anne,10/02/2022,ARIEGE,09,76,09MERAS,09186
M.,GONCALVES,Joseph,Maire,Bompas,Ariège,HIDALGO Anne,10/02/2022,ARIEGE,09,76,09BOMPAS,09058
M.,NAUDY,Alain,Président d'un EPCI à fiscalité propre,CC de la Haute Ariège,Ariège,HIDALGO Anne,10/02/2022,ARIEGE,09,76,09CCDELAHAUTEARIEGE,
M.,PANIFOUS,Laurent,Président d'un EPCI à fiscalité propre,CC Arize Lèze,Ariège,HIDALGO Anne,10/02/2022,ARIEGE,09,76,09CCARIZELEZE,
M.,ROSSI,Jean-Louis,Maire,Saint-Jean-d'Aigues-Vives,Ariège,HIDALGO Anne,10/02/2022,ARIEGE,09,76,09SAINTJEANDAIGUESVIVES,09262
Mme,ROUGE,Mariette,Maire,Esclagne,Ariège,HIDALGO Anne,10/02/2022,ARIEGE,09,76,09ESCLAGNE,09115
M.,SICRE,Jean-Pierre,Maire,Mérens-les-Vals,Ariège,HIDALGO Anne,10/02/2022,ARIEGE,09,76,09MERENSLESVALS,09189
M.,INCAMPS,Daniel,Maire,Bédeille,Ariège,LASSALLE Jean,10/02/2022,ARIEGE,09,76,09BEDEILLE,09046
M.,TIMBART,Patrick,Maire,Castillon-en-Couserans,Ariège,LASSALLE Jean,10/02/2022,ARIEGE,09,76,09CASTILLONENCOUSERANS,09085
M.,MABILLOT,Michel,Maire,Crampagna,Ariège,MACRON Emmanuel,10/02/2022,ARIEGE,09,76,09CRAMPAGNA,09103
