Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
Mme,AZZAZ,Nadège,Maire,Châtillon,Hauts-de-Seine,HIDALGO Anne,01/02/2022,HAUTSDESEINE,92,11,92CHATILLON,92020
Mme,HENNION,Christine,Députée,3ème circonscription,Hauts-de-Seine,MACRON Emmanuel,01/02/2022,HAUTSDESEINE,92,11,92EMECIRCONSCRIPTION,
M.,ADJROUD,Lounes,Conseiller départemental,,Hauts-de-Seine,HIDALGO Anne,03/02/2022,HAUTSDESEINE,92,11,92,
M.,TIMOTEO,Joaquim,Conseiller départemental,,Hauts-de-Seine,HIDALGO Anne,03/02/2022,HAUTSDESEINE,92,11,92,
Mme,BOUZID,Élodie,Conseillère régionale,Île-De-France,Hauts-de-Seine,JADOT Yannick,03/02/2022,HAUTSDESEINE,92,11,92ILEDEFRANCE,
Mme,CALVEZ,Céline,Députée,5ème circonscription,Hauts-de-Seine,MACRON Emmanuel,03/02/2022,HAUTSDESEINE,92,11,92EMECIRCONSCRIPTION,
M.,MARILOSSIAN,Jacques,Député,7ème circonscription,Hauts-de-Seine,MACRON Emmanuel,03/02/2022,HAUTSDESEINE,92,11,92EMECIRCONSCRIPTION,
Mme,PÉTELLE,Bénédicte,Députée,2ème circonscription,Hauts-de-Seine,MACRON Emmanuel,03/02/2022,HAUTSDESEINE,92,11,92EMECIRCONSCRIPTION,
Mme,PROVENDIER,Florence,Députée,10ème circonscription,Hauts-de-Seine,MACRON Emmanuel,03/02/2022,HAUTSDESEINE,92,11,92EMECIRCONSCRIPTION,
Mme,ROSSI,Laurianne,Députée,11ème circonscription,Hauts-de-Seine,MACRON Emmanuel,03/02/2022,HAUTSDESEINE,92,11,92EMECIRCONSCRIPTION,
Mme,TAQUILLAIN,Aurélie,Conseillère régionale,Île-De-France,Hauts-de-Seine,MACRON Emmanuel,03/02/2022,HAUTSDESEINE,92,11,92ILEDEFRANCE,
Mme,BECART,Jeanne,Maire,Garches,Hauts-de-Seine,PÉCRESSE Valérie,03/02/2022,HAUTSDESEINE,92,11,92GARCHES,92033
Mme,BOURG,Sandrine,Conseillère départementale,,Hauts-de-Seine,PÉCRESSE Valérie,03/02/2022,HAUTSDESEINE,92,11,92,
M.,COSCAS,Yves,Conseiller départemental,,Hauts-de-Seine,PÉCRESSE Valérie,03/02/2022,HAUTSDESEINE,92,11,92,
Mme,DESCHIENS,Sophie,Conseillère régionale,Île-De-France,Hauts-de-Seine,PÉCRESSE Valérie,03/02/2022,HAUTSDESEINE,92,11,92ILEDEFRANCE,
M.,KAROUTCHI,Roger,Sénateur,,Hauts-de-Seine,PÉCRESSE Valérie,03/02/2022,HAUTSDESEINE,92,11,92,
Mme,LAVARDE,Christine,Sénatrice,,Hauts-de-Seine,PÉCRESSE Valérie,03/02/2022,HAUTSDESEINE,92,11,92,
M.,SENANT,Jean-Yves,Maire,Antony,Hauts-de-Seine,PÉCRESSE Valérie,03/02/2022,HAUTSDESEINE,92,11,92ANTONY,92002
M.,WEISS,David-Xavier,Conseiller départemental,,Hauts-de-Seine,PÉCRESSE Valérie,03/02/2022,HAUTSDESEINE,92,11,92,
