Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,BLANC,Mathias,Conseiller départemental,,Pyrénées-Orientales,HIDALGO Anne,01/02/2022,PYRENEESORIENTALES,66,76,66,
Mme,CORDELETTE,Joëlle,Maire,Mont-Louis,Pyrénées-Orientales,MACRON Emmanuel,01/02/2022,PYRENEESORIENTALES,66,76,66MONTLOUIS,66117
Mme,BARRERE,Armande,Conseillère départementale,,Pyrénées-Orientales,PÉCRESSE Valérie,01/02/2022,PYRENEESORIENTALES,66,76,66,
M.,XANCHO,Philippe,Maire,Saint-Jean-Lasseille,Pyrénées-Orientales,ARTHAUD Nathalie,03/02/2022,PYRENEESORIENTALES,66,76,66SAINTJEANLASSEILLE,66177
Mme,JARYCKI,Eliane,Conseillère régionale,Occitanie,Pyrénées-Orientales,HIDALGO Anne,03/02/2022,PYRENEESORIENTALES,66,76,66OCCITANIE,
M.,ALIOT,Louis,Maire,Perpignan,Pyrénées-Orientales,LE PEN Marine,03/02/2022,PYRENEESORIENTALES,66,76,66PERPIGNAN,66136
M.,CAZENOVE,Sébastien,Député,4ème circonscription,Pyrénées-Orientales,MACRON Emmanuel,03/02/2022,PYRENEESORIENTALES,66,76,66EMECIRCONSCRIPTION,
Mme,DE NOELL MARCHESAN,Isabelle,Conseillère départementale,,Pyrénées-Orientales,MACRON Emmanuel,03/02/2022,PYRENEESORIENTALES,66,76,66,
Mme,GAYTE,Laurence,Députée,3ème circonscription,Pyrénées-Orientales,MACRON Emmanuel,03/02/2022,PYRENEESORIENTALES,66,76,66EMECIRCONSCRIPTION,
M.,GOT,Patrick,Maire,Baho,Pyrénées-Orientales,MACRON Emmanuel,03/02/2022,PYRENEESORIENTALES,66,76,66BAHO,66012
Mme,CALVET,Chantal,Maire,Fontpédrouse,Pyrénées-Orientales,MÉLENCHON Jean-Luc,03/02/2022,PYRENEESORIENTALES,66,76,66FONTPEDROUSE,66080
M.,ASPE,Daniel,Maire,Escaro,Pyrénées-Orientales,ROUSSEL Fabien,03/02/2022,PYRENEESORIENTALES,66,76,66ESCARO,66068
Mme,BEUZE,Lola,Conseillère départementale,,Pyrénées-Orientales,ROUSSEL Fabien,03/02/2022,PYRENEESORIENTALES,66,76,66,
M.,CASES,Patrick,Conseiller régional,Occitanie,Pyrénées-Orientales,ROUSSEL Fabien,03/02/2022,PYRENEESORIENTALES,66,76,66OCCITANIE,
M.,MAGDALOU,Jean-André,Maire,Alénya,Pyrénées-Orientales,ROUSSEL Fabien,03/02/2022,PYRENEESORIENTALES,66,76,66ALENYA,66002
M.,CABEZA,Fernand,Maire,Arboussols,Pyrénées-Orientales,ZEMMOUR Éric,03/02/2022,PYRENEESORIENTALES,66,76,66ARBOUSSOLS,66007
M.,OLIVE,René,Maire,Thuir,Pyrénées-Orientales,HIDALGO Anne,08/02/2022,PYRENEESORIENTALES,66,76,66THUIR,66210
M.,OLIVE,Robert,Maire,Saint-Féliu-d'Amont,Pyrénées-Orientales,HIDALGO Anne,08/02/2022,PYRENEESORIENTALES,66,76,66SAINTFELIUDAMONT,66173
M.,ROQUE,Jean,Conseiller départemental,,Pyrénées-Orientales,HIDALGO Anne,08/02/2022,PYRENEESORIENTALES,66,76,66,
M.,VILA,Jean,Maire,Maureillas-las-Illas,Pyrénées-Orientales,HIDALGO Anne,08/02/2022,PYRENEESORIENTALES,66,76,66MAUREILLASLASILLAS,66106
M.,BLANC,Auguste,Maire,Rabouillet,Pyrénées-Orientales,LASSALLE Jean,08/02/2022,PYRENEESORIENTALES,66,76,66RABOUILLET,66156
M.,GROS,Bernard,Maire,Enveitg,Pyrénées-Orientales,LASSALLE Jean,08/02/2022,PYRENEESORIENTALES,66,76,66ENVEITG,66066
M.,BAUDRY,Xavier,Conseiller régional,Occitanie,Pyrénées-Orientales,LE PEN Marine,08/02/2022,PYRENEESORIENTALES,66,76,66OCCITANIE,
Mme,BLANC,Sophie,Conseillère régionale,Occitanie,Pyrénées-Orientales,LE PEN Marine,08/02/2022,PYRENEESORIENTALES,66,76,66OCCITANIE,
M.,CASEILLES,Louis,Maire,Saint-Laurent-de-Cerdans,Pyrénées-Orientales,MACRON Emmanuel,08/02/2022,PYRENEESORIENTALES,66,76,66SAINTLAURENTDECERDANS,66179
Mme,BEAUX,Nicole,Maire,Valmanya,Pyrénées-Orientales,MÉLENCHON Jean-Luc,08/02/2022,PYRENEESORIENTALES,66,76,66VALMANYA,66221
M.,MALAPRADE,Christophe,Maire,Fosse,Pyrénées-Orientales,MÉLENCHON Jean-Luc,08/02/2022,PYRENEESORIENTALES,66,76,66FOSSE,66083
M.,RAYNAUD,Jean-Louis,Maire,Fenouillet,Pyrénées-Orientales,MÉLENCHON Jean-Luc,08/02/2022,PYRENEESORIENTALES,66,76,66FENOUILLET,66077
M.,CALVET,François,Sénateur,,Pyrénées-Orientales,PÉCRESSE Valérie,08/02/2022,PYRENEESORIENTALES,66,76,66,
M.,GALAN,Bruno,Maire,Palau-del-Vidre,Pyrénées-Orientales,PÉCRESSE Valérie,08/02/2022,PYRENEESORIENTALES,66,76,66PALAUDELVIDRE,66133
M.,LODA,Stéphane,Maire,Canet-en-Roussillon,Pyrénées-Orientales,PÉCRESSE Valérie,08/02/2022,PYRENEESORIENTALES,66,76,66CANETENROUSSILLON,66037
M.,MORICONI,Jean-Charles,Maire,Pollestres,Pyrénées-Orientales,PÉCRESSE Valérie,08/02/2022,PYRENEESORIENTALES,66,76,66POLLESTRES,66144
Mme,FITER,Françoise,Conseillère départementale,,Pyrénées-Orientales,ROUSSEL Fabien,08/02/2022,PYRENEESORIENTALES,66,76,66,
M.,LACAPERE,Rémi,Conseiller départemental,,Pyrénées-Orientales,ROUSSEL Fabien,08/02/2022,PYRENEESORIENTALES,66,76,66,
M.,STRUILLOU,Jean-Philippe,Maire,Ansignan,Pyrénées-Orientales,THOUY Hélène,08/02/2022,PYRENEESORIENTALES,66,76,66ANSIGNAN,66006
M.,BARAILLE,Julien,Conseiller régional,Occitanie,Pyrénées-Orientales,HIDALGO Anne,10/02/2022,PYRENEESORIENTALES,66,76,66OCCITANIE,
Mme,CABRERA,Marie,Maire,Bages,Pyrénées-Orientales,HIDALGO Anne,10/02/2022,PYRENEESORIENTALES,66,76,66BAGES,66011
Mme,MALHERBE,Hermeline,Conseillère départementale,,Pyrénées-Orientales,HIDALGO Anne,10/02/2022,PYRENEESORIENTALES,66,76,66,
Mme,PIGNIER,Laurence,Conseillère régionale,Occitanie,Pyrénées-Orientales,LE PEN Marine,10/02/2022,PYRENEESORIENTALES,66,76,66OCCITANIE,
Mme,PUJOL,Catherine,Députée,2ème circonscription,Pyrénées-Orientales,LE PEN Marine,10/02/2022,PYRENEESORIENTALES,66,76,66EMECIRCONSCRIPTION,
M.,GOT,Alain,Maire,Saint-Laurent-de-la-Salanque,Pyrénées-Orientales,MACRON Emmanuel,10/02/2022,PYRENEESORIENTALES,66,76,66SAINTLAURENTDELASALANQUE,66180
Mme,PERAL,Marie-Edith,Maire,Estoher,Pyrénées-Orientales,HIDALGO Anne,15/02/2022,PYRENEESORIENTALES,66,76,66ESTOHER,66073
M.,REYNAL,Alexandre,Conseiller départemental,,Pyrénées-Orientales,HIDALGO Anne,15/02/2022,PYRENEESORIENTALES,66,76,66,
Mme,SADOURNY,Marie-Pierre,Conseillère départementale,,Pyrénées-Orientales,HIDALGO Anne,15/02/2022,PYRENEESORIENTALES,66,76,66,
M.,SOLER,Gérard,Maire,Corbère-les-Cabanes,Pyrénées-Orientales,HIDALGO Anne,15/02/2022,PYRENEESORIENTALES,66,76,66CORBERELESCABANES,66056
M.,BERNARDY,Laurent,Maire,Banyuls-dels-Aspres,Pyrénées-Orientales,JADOT Yannick,15/02/2022,PYRENEESORIENTALES,66,76,66BANYULSDELSASPRES,66015
Mme,GAS,Christine,Conseillère régionale,Occitanie,Pyrénées-Orientales,JADOT Yannick,15/02/2022,PYRENEESORIENTALES,66,76,66OCCITANIE,
Mme,LANGEVINE,Agnès,Conseillère régionale,Occitanie,Pyrénées-Orientales,JADOT Yannick,15/02/2022,PYRENEESORIENTALES,66,76,66OCCITANIE,
M.,GUITART,Henri,Maire,Vernet-les-Bains,Pyrénées-Orientales,LASSALLE Jean,15/02/2022,PYRENEESORIENTALES,66,76,66VERNETLESBAINS,66222
M.,GOURIER,Frédéric,Conseiller régional,Occitanie,Pyrénées-Orientales,LE PEN Marine,15/02/2022,PYRENEESORIENTALES,66,76,66OCCITANIE,
M.,DELCOR,Yves,Maire,Prades,Pyrénées-Orientales,MACRON Emmanuel,15/02/2022,PYRENEESORIENTALES,66,76,66PRADES,66149
M.,CRAMBES,Yvon,Maire,Sournia,Pyrénées-Orientales,PÉCRESSE Valérie,15/02/2022,PYRENEESORIENTALES,66,76,66SOURNIA,66198
M.,PETIT,Marc,Maire,Claira,Pyrénées-Orientales,PÉCRESSE Valérie,15/02/2022,PYRENEESORIENTALES,66,76,66CLAIRA,66050
M.,CHRYSOSTOME,Antoine,Maire,Corsavy,Pyrénées-Orientales,POUTOU Philippe,15/02/2022,PYRENEESORIENTALES,66,76,66CORSAVY,66060
Mme,LESNÉ-MATHIS,Maya,Maire,Tordères,Pyrénées-Orientales,POUTOU Philippe,15/02/2022,PYRENEESORIENTALES,66,76,66TORDERES,66211
Mme,PUGNET,Édith,Maire,Cabestany,Pyrénées-Orientales,ROUSSEL Fabien,15/02/2022,PYRENEESORIENTALES,66,76,66CABESTANY,66028
M.,PALMADE,Jérôme,Maire,Pia,Pyrénées-Orientales,ZEMMOUR Éric,15/02/2022,PYRENEESORIENTALES,66,76,66PIA,66141
M.,BELLEGARDE,Patrick,Maire,Passa,Pyrénées-Orientales,JADOT Yannick,17/02/2022,PYRENEESORIENTALES,66,76,66PASSA,66134
M.,GRAU,Romain,Député,1ère circonscription,Pyrénées-Orientales,MACRON Emmanuel,17/02/2022,PYRENEESORIENTALES,66,76,66ERECIRCONSCRIPTION,
M.,PORTEIX,Yves,Maire,Sorède,Pyrénées-Orientales,MACRON Emmanuel,17/02/2022,PYRENEESORIENTALES,66,76,66SOREDE,66196
M.,SOL,Jean,Sénateur,,Pyrénées-Orientales,PÉCRESSE Valérie,17/02/2022,PYRENEESORIENTALES,66,76,66,
M.,GARRABÉ,Robert,Maire,Saint-Jean-Pla-de-Corts,Pyrénées-Orientales,HIDALGO Anne,22/02/2022,PYRENEESORIENTALES,66,76,66SAINTJEANPLADECORTS,66178
M.,TAHOCES,Antoine,Maire,Sansa,Pyrénées-Orientales,MACRON Emmanuel,22/02/2022,PYRENEESORIENTALES,66,76,66SANSA,66191
M.,GARCIA,Nicolas,Conseiller départemental,,Pyrénées-Orientales,ROUSSEL Fabien,22/02/2022,PYRENEESORIENTALES,66,76,66,
M.,CHAUVEAU,Olivier,Maire,Casteil,Pyrénées-Orientales,POUTOU Philippe,24/02/2022,PYRENEESORIENTALES,66,76,66CASTEIL,66043
