Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,ARHANCHIAGUE,Jean-Pierre,Maire,Ainharp,Pyrénées-Atlantiques,LASSALLE Jean,01/02/2022,PYRENEESATLANTIQUES,64,75,64AINHARP,64012
M.,BOURGUET,Jacques,Maire,Viellenave-de-Navarrenx,Pyrénées-Atlantiques,LASSALLE Jean,01/02/2022,PYRENEESATLANTIQUES,64,75,64VIELLENAVEDENAVARRENX,64555
M.,LENDRE,Jean-Baptiste,Maire,Méritein,Pyrénées-Atlantiques,LASSALLE Jean,01/02/2022,PYRENEESATLANTIQUES,64,75,64MERITEIN,64381
M.,SARASOLA,Jean,Maire,Gurmençon,Pyrénées-Atlantiques,LASSALLE Jean,01/02/2022,PYRENEESATLANTIQUES,64,75,64GURMENCON,64252
M.,ESCALÉ,Francis,Maire,Baudreix,Pyrénées-Atlantiques,MACRON Emmanuel,01/02/2022,PYRENEESATLANTIQUES,64,75,64BAUDREIX,64101
M.,LEBLANC,Jean-Simon,Maire,Labastide-Monréjeau,Pyrénées-Atlantiques,MACRON Emmanuel,01/02/2022,PYRENEESATLANTIQUES,64,75,64LABASTIDEMONREJEAU,64290
Mme,POUEYTO,Josy,Députée,1ère circonscription,Pyrénées-Atlantiques,MACRON Emmanuel,01/02/2022,PYRENEESATLANTIQUES,64,75,64ERECIRCONSCRIPTION,
Mme,ECHEVERRIA,Maité,Maire,Ossas-Suhare,Pyrénées-Atlantiques,POUTOU Philippe,01/02/2022,PYRENEESATLANTIQUES,64,75,64OSSASSUHARE,64432
M.,GAIRIN,Marc,Maire,Momy,Pyrénées-Atlantiques,ZEMMOUR Éric,01/02/2022,PYRENEESATLANTIQUES,64,75,64MOMY,64388
M.,BERCHON,Jean-Marie,Maire,Lestelle-Bétharram,Pyrénées-Atlantiques,HIDALGO Anne,03/02/2022,PYRENEESATLANTIQUES,64,75,64LESTELLEBETHARRAM,64339
M.,ECENARRO,Kotte,Maire,Hendaye,Pyrénées-Atlantiques,HIDALGO Anne,03/02/2022,PYRENEESATLANTIQUES,64,75,64HENDAYE,64260
M.,BLANCO,Jean-François,Conseiller régional,Nouvelle-Aquitaine,Pyrénées-Atlantiques,JADOT Yannick,03/02/2022,PYRENEESATLANTIQUES,64,75,64NOUVELLEAQUITAINE,
M.,BERÇAÏTS,Christian,Maire,Viodos-Abense-de-Bas,Pyrénées-Atlantiques,LASSALLE Jean,03/02/2022,PYRENEESATLANTIQUES,64,75,64VIODOSABENSEDEBAS,64559
M.,BIDEGAIN,Gérard,Maire,Garris,Pyrénées-Atlantiques,LASSALLE Jean,03/02/2022,PYRENEESATLANTIQUES,64,75,64GARRIS,64235
M.,CARRICART,Pierre,Maire,Haux,Pyrénées-Atlantiques,LASSALLE Jean,03/02/2022,PYRENEESATLANTIQUES,64,75,64HAUX,64258
M.,CHOY,Bernard,Maire,Aydius,Pyrénées-Atlantiques,LASSALLE Jean,03/02/2022,PYRENEESATLANTIQUES,64,75,64AYDIUS,64085
