Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,DIETMANN,Daniel,Maire,Manspach,Haut-Rhin,JADOT Yannick,01/02/2022,HAUTRHIN,68,44,68MANSPACH,68200
Mme,KLINKERT,Brigitte,Conseillère départementale,,Haut-Rhin,MACRON Emmanuel,01/02/2022,HAUTRHIN,68,44,68,
Mme,WEIDER-NIGLIS,Séverine,Conseillère régionale,Grand Est,Haut-Rhin,MACRON Emmanuel,01/02/2022,HAUTRHIN,68,44,68GRANDEST,
M.,RISS,Georges,Maire,Obermorschwiller,Haut-Rhin,ARTHAUD Nathalie,03/02/2022,HAUTRHIN,68,44,68OBERMORSCHWILLER,68245
M.,ROTOLO,Marcello,Maire,Soultz-Haut-Rhin,Haut-Rhin,HIDALGO Anne,03/02/2022,HAUTRHIN,68,44,68SOULTZHAUTRHIN,68315
M.,GIRARDIN,Philippe,Maire,Lapoutroie,Haut-Rhin,JADOT Yannick,03/02/2022,HAUTRHIN,68,44,68LAPOUTROIE,68175
M.,TSCHAEN,Pascal,Conseiller régional,Grand Est,Haut-Rhin,LE PEN Marine,03/02/2022,HAUTRHIN,68,44,68GRANDEST,
M.,BOUCHE,Marc,Maire,Muntzenheim,Haut-Rhin,MACRON Emmanuel,03/02/2022,HAUTRHIN,68,44,68MUNTZENHEIM,68227
M.,CENTLIVRE,Claude,Maire,Eguisheim,Haut-Rhin,MACRON Emmanuel,03/02/2022,HAUTRHIN,68,44,68EGUISHEIM,68078
M.,GASSMANN,Vincent,Maire,Chavannes-sur-l'Étang,Haut-Rhin,MACRON Emmanuel,03/02/2022,HAUTRHIN,68,44,68CHAVANNESSURLETANG,68065
M.,JUCHS,Bernard,Maire,Schlierbach,Haut-Rhin,MACRON Emmanuel,03/02/2022,HAUTRHIN,68,44,68SCHLIERBACH,68301
M.,KARCHER,Jacques,Maire,Storckensohn,Haut-Rhin,MACRON Emmanuel,03/02/2022,HAUTRHIN,68,44,68STORCKENSOHN,68328
M.,KOLB,Pierre-Marie,Maire,Bourbach-le-Bas,Haut-Rhin,MACRON Emmanuel,03/02/2022,HAUTRHIN,68,44,68BOURBACHLEBAS,68045
M.,NEUMANN,Rémy,Maire,Lutterbach,Haut-Rhin,MACRON Emmanuel,03/02/2022,HAUTRHIN,68,44,68LUTTERBACH,68195
M.,REBERT,Christian,Maire,Andolsheim,Haut-Rhin,MACRON Emmanuel,03/02/2022,HAUTRHIN,68,44,68ANDOLSHEIM,68007
M.,ROUDAIRE,Joël,Maire,Kembs,Haut-Rhin,MACRON Emmanuel,03/02/2022,HAUTRHIN,68,44,68KEMBS,68163
Mme,SCHILLINGER,Patricia,Sénatrice,,Haut-Rhin,MACRON Emmanuel,03/02/2022,HAUTRHIN,68,44,68,
M.,WIES,Joël,Maire,Saint-Cosme,Haut-Rhin,MACRON Emmanuel,03/02/2022,HAUTRHIN,68,44,68SAINTCOSME,68293
M.,CATTIN,Jacques,Député,2ème circonscription,Haut-Rhin,PÉCRESSE Valérie,03/02/2022,HAUTRHIN,68,44,68EMECIRCONSCRIPTION,
M.,LERCH,Michel,Maire,Kiffis,Haut-Rhin,PÉCRESSE Valérie,03/02/2022,HAUTRHIN,68,44,68KIFFIS,68165
M.,SCHELLENBERGER,Raphaël,Député,4ème circonscription,Haut-Rhin,PÉCRESSE Valérie,03/02/2022,HAUTRHIN,68,44,68EMECIRCONSCRIPTION,
M.,ZURBACH,Jean,Maire,Bettendorf,Haut-Rhin,PÉCRESSE Valérie,03/02/2022,HAUTRHIN,68,44,68BETTENDORF,68033
M.,BURRUS,Jean-Marc,Maire,Sainte-Croix-aux-Mines,Haut-Rhin,THOUY Hélène,03/02/2022,HAUTRHIN,68,44,68SAINTECROIXAUXMINES,68294
M.,RINGWALD,Jean-Claude,Maire,Montreux-Vieux,Haut-Rhin,ZEMMOUR Éric,03/02/2022,HAUTRHIN,68,44,68MONTREUXVIEUX,68215
M.,SCHOENIG,Arsène,Maire,Hirtzbach,Haut-Rhin,ARTHAUD Nathalie,08/02/2022,HAUTRHIN,68,44,68HIRTZBACH,68139
M.,KIRCHHOFFER,Claude,Maire,Geishouse,Haut-Rhin,ASSELINEAU François,08/02/2022,HAUTRHIN,68,44,68GEISHOUSE,68102
M.,PERRIN,Frédéric,Maire,Le Bonhomme,Haut-Rhin,CAU Marie,08/02/2022,HAUTRHIN,68,44,68LEBONHOMME,68044
M.,STRICH,Vincent,Maire,Steinbrunn-le-Haut,Haut-Rhin,DUPONT-AIGNAN Nicolas,08/02/2022,HAUTRHIN,68,44,68STEINBRUNNLEHAUT,68324
M.,HOMÉ,Antoine,Maire,Wittenheim,Haut-Rhin,HIDALGO Anne,08/02/2022,HAUTRHIN,68,44,68WITTENHEIM,68376
M.,DREYFUS,Laurent,Conseiller régional,Grand Est,Haut-Rhin,JADOT Yannick,08/02/2022,HAUTRHIN,68,44,68GRANDEST,
M.,MARINONI,Ludovic,Maire,Wildenstein,Haut-Rhin,LASSALLE Jean,08/02/2022,HAUTRHIN,68,44,68WILDENSTEIN,68370
Mme,AUBERT,Nathalie,Conseillère régionale,Grand Est,Haut-Rhin,LE PEN Marine,08/02/2022,HAUTRHIN,68,44,68GRANDEST,
Mme,RITZ,Christelle,Conseillère régionale,Grand Est,Haut-Rhin,LE PEN Marine,08/02/2022,HAUTRHIN,68,44,68GRANDEST,
M.,ZIMMERMANN,Christian,Conseiller régional,Grand Est,Haut-Rhin,LE PEN Marine,08/02/2022,HAUTRHIN,68,44,68GRANDEST,
M.,BECHT,Olivier,Député,5ème circonscription,Haut-Rhin,MACRON Emmanuel,08/02/2022,HAUTRHIN,68,44,68EMECIRCONSCRIPTION,
M.,BILGER,Christian,Maire,Bellemagny,Haut-Rhin,MACRON Emmanuel,08/02/2022,HAUTRHIN,68,44,68BELLEMAGNY,68024
Mme,BOHN,Patricia,Conseillère départementale,,Haut-Rhin,MACRON Emmanuel,08/02/2022,HAUTRHIN,68,44,68,
M.,DUDT,Franck,Maire,Le Haut Soultzbach,Haut-Rhin,MACRON Emmanuel,08/02/2022,HAUTRHIN,68,44,68LEHAUTSOULTZBACH,68219
M.,HAYE,Ludovic,Sénateur,,Haut-Rhin,MACRON Emmanuel,08/02/2022,HAUTRHIN,68,44,68,
