Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
Mme,BEAULANDE,Marie-José,Maire,Eaubonne,Val-d'Oise,HIDALGO Anne,01/02/2022,VALDOISE,95,11,95EAUBONNE,95203
Mme,FAIVRE,Capucine,Maire,La Roche-Guyon,Val-d'Oise,PÉCRESSE Valérie,01/02/2022,VALDOISE,95,11,95LAROCHEGUYON,95523
M.,DELAHAYE,Maurice,Maire,Le Heaulme,Val-d'Oise,DUPONT-AIGNAN Nicolas,03/02/2022,VALDOISE,95,11,95LEHEAULME,95303
Mme,BERESSI,Isabelle,Conseillère régionale,Île-De-France,Val-d'Oise,HIDALGO Anne,03/02/2022,VALDOISE,95,11,95ILEDEFRANCE,
M.,TEMAL,Rachid,Conseiller régional,Île-De-France,Val-d'Oise,HIDALGO Anne,03/02/2022,VALDOISE,95,11,95ILEDEFRANCE,
M.,ALLEGRE,Marcel Elisée,Maire,Frémainville,Val-d'Oise,MACRON Emmanuel,03/02/2022,VALDOISE,95,11,95FREMAINVILLE,95253
M.,CORCEIRO,David,Député,6ème circonscription,Val-d'Oise,MACRON Emmanuel,03/02/2022,VALDOISE,95,11,95EMECIRCONSCRIPTION,
M.,DA SILVA,Dominique,Député,7ème circonscription,Val-d'Oise,MACRON Emmanuel,03/02/2022,VALDOISE,95,11,95EMECIRCONSCRIPTION,
M.,GIROUD,Marc,Maire,Vallangoujard,Val-d'Oise,MACRON Emmanuel,03/02/2022,VALDOISE,95,11,95VALLANGOUJARD,95627
M.,HUISMAN,Bruno,Maire,Valmondois,Val-d'Oise,MACRON Emmanuel,03/02/2022,VALDOISE,95,11,95VALMONDOIS,95628
Mme,MOUTCHOU,Naïma,Députée,4ème circonscription,Val-d'Oise,MACRON Emmanuel,03/02/2022,VALDOISE,95,11,95EMECIRCONSCRIPTION,
M.,PUPPONI,François,Député,8ème circonscription,Val-d'Oise,MACRON Emmanuel,03/02/2022,VALDOISE,95,11,95EMECIRCONSCRIPTION,
M.,RICHARD,Alain,Sénateur,,Val-d'Oise,MACRON Emmanuel,03/02/2022,VALDOISE,95,11,95,
Mme,RILHAC,Cecile,Députée,3ème circonscription,Val-d'Oise,MACRON Emmanuel,03/02/2022,VALDOISE,95,11,95EMECIRCONSCRIPTION,
M.,VUILLETET,Guillaume,Député,2ème circonscription,Val-d'Oise,MACRON Emmanuel,03/02/2022,VALDOISE,95,11,95EMECIRCONSCRIPTION,
M.,BOËDEC,Yannick,Maire,Cormeilles-en-Parisis,Val-d'Oise,PÉCRESSE Valérie,03/02/2022,VALDOISE,95,11,95CORMEILLESENPARISIS,95176
M.,CARTEADO,Stéphane,Maire,Champagne-sur-Oise,Val-d'Oise,PÉCRESSE Valérie,03/02/2022,VALDOISE,95,11,95CHAMPAGNESUROISE,95134
Mme,CAVECCHI,Marie-Christine,Conseillère départementale,,Val-d'Oise,PÉCRESSE Valérie,03/02/2022,VALDOISE,95,11,95,
M.,DOLL,Pascal,Maire,Arnouville,Val-d'Oise,PÉCRESSE Valérie,03/02/2022,VALDOISE,95,11,95ARNOUVILLE,95019
Mme,EUSTACHE-BRINIO,Jacqueline,Sénatrice,,Val-d'Oise,PÉCRESSE Valérie,03/02/2022,VALDOISE,95,11,95,
Mme,FROMENTEIL,Anne,Conseillère départementale,,Val-d'Oise,PÉCRESSE Valérie,03/02/2022,VALDOISE,95,11,95,
M.,HAQUIN,Xavier,Maire,Ermont,Val-d'Oise,PÉCRESSE Valérie,03/02/2022,VALDOISE,95,11,95ERMONT,95219
M.,HUMBERT,Thibault,Maire,Éragny,Val-d'Oise,PÉCRESSE Valérie,03/02/2022,VALDOISE,95,11,95ERAGNY,95218
M.,MANSOUX,Michel,Maire,Luzarches,Val-d'Oise,PÉCRESSE Valérie,03/02/2022,VALDOISE,95,11,95LUZARCHES,95352
M.,MELKI,Xavier,Maire,Franconville,Val-d'Oise,PÉCRESSE Valérie,03/02/2022,VALDOISE,95,11,95FRANCONVILLE,95252
M.,STREHAIANO,Luc,Maire,Soisy-sous-Montmorency,Val-d'Oise,PÉCRESSE Valérie,03/02/2022,VALDOISE,95,11,95SOISYSOUSMONTMORENCY,95598
Mme,VILLECOURT,Céline,Maire,Saint-Prix,Val-d'Oise,PÉCRESSE Valérie,03/02/2022,VALDOISE,95,11,95SAINTPRIX,95574
M.,CHIARADIA,Pierre,Maire,Gouzangrez,Val-d'Oise,ARTHAUD Nathalie,08/02/2022,VALDOISE,95,11,95GOUZANGREZ,95282
M.,KRIEGUER,Claude,Maire,Asnières-sur-Oise,Val-d'Oise,DUPONT-AIGNAN Nicolas,08/02/2022,VALDOISE,95,11,95ASNIERESSUROISE,95026
M.,SUEUR,Philippe,Maire,Enghien-les-Bains,Val-d'Oise,DUPONT-AIGNAN Nicolas,08/02/2022,VALDOISE,95,11,95ENGHIENLESBAINS,95210
M.,APARICIO,Jean-Michel,Maire,Beaumont-sur-Oise,Val-d'Oise,HIDALGO Anne,08/02/2022,VALDOISE,95,11,95BEAUMONTSUROISE,95052
M.,BOUGEARD,Nicolas,Conseiller départemental,,Val-d'Oise,HIDALGO Anne,08/02/2022,VALDOISE,95,11,95,
M.,HADDAD,Patrick,Maire,Sarcelles,Val-d'Oise,HIDALGO Anne,08/02/2022,VALDOISE,95,11,95SARCELLES,95585
M.,JEANDON,Jean-Paul,Maire,Cergy,Val-d'Oise,HIDALGO Anne,08/02/2022,VALDOISE,95,11,95CERGY,95127
M.,PROFFIT BRULFERT,Eric,Maire,Menucourt,Val-d'Oise,JADOT Yannick,08/02/2022,VALDOISE,95,11,95MENUCOURT,95388
M.,MARLY,Jean-Baptiste,Conseiller régional,Île-De-France,Val-d'Oise,LE PEN Marine,08/02/2022,VALDOISE,95,11,95ILEDEFRANCE,
Mme,LAZAAR,Fiona,Députée,5ème circonscription,Val-d'Oise,MACRON Emmanuel,08/02/2022,VALDOISE,95,11,95EMECIRCONSCRIPTION,
Mme,PARK,Zivka,Députée,9ème circonscription,Val-d'Oise,MACRON Emmanuel,08/02/2022,VALDOISE,95,11,95EMECIRCONSCRIPTION,
M.,PRUDHOMME,Christophe,Conseiller régional,Île-De-France,Val-d'Oise,MÉLENCHON Jean-Luc,08/02/2022,VALDOISE,95,11,95ILEDEFRANCE,
M.,BACHARD,Julien,Maire,Saint-Gratien,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95SAINTGRATIEN,95555
M.,BAZIN,Arnaud,Sénateur,,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95,
Mme,BOISSEAU,Laetitia,Conseillère départementale,,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95,
M.,DAGONET,Didier,Maire,Béthemont-la-Forêt,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95BETHEMONTLAFORET,95061
M.,DUBRAY,Paul,Conseiller départemental,,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95,
M.,FLOQUET,Patrick,Maire,Montmagny,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95MONTMAGNY,95427
Mme,LANASPRE,Nicole,Conseillère régionale,Île-De-France,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95ILEDEFRANCE,
M.,LEVESQUE,Jean-Michel,Maire,Osny,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95OSNY,95476
M.,MAZURIER,Jean-Christophe,Maire,Maffliers,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95MAFFLIERS,95353
Mme,MEZIERES,Isabelle,Maire,Auvers-sur-Oise,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95AUVERSSUROISE,95039
M.,MOTHRON,Georges,Maire,Argenteuil,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95ARGENTEUIL,95018
M.,PUECH D'ALISSAC,Luc,Maire,Magny-en-Vexin,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95MAGNYENVEXIN,95355
M.,RENARD,Jean-François,Maire,Villers-en-Arthies,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95VILLERSENARTHIES,95676
Mme,RICARD-HIBON,Agnès,Conseillère régionale,Île-De-France,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95ILEDEFRANCE,
M.,THORY,Maxime,Maire,Montmorency,Val-d'Oise,PÉCRESSE Valérie,08/02/2022,VALDOISE,95,11,95MONTMORENCY,95428
