Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
Mme,BALLET-BLU,Françoise,Députée,1ère circonscription,Vienne,MACRON Emmanuel,01/02/2022,VIENNE,86,75,86ERECIRCONSCRIPTION,
M.,HOULIÉ,Sacha,Député,2ème circonscription,Vienne,MACRON Emmanuel,01/02/2022,VIENNE,86,75,86EMECIRCONSCRIPTION,
Mme,JEAN,Gisèle,Maire,Queaux,Vienne,MÉLENCHON Jean-Luc,01/02/2022,VIENNE,86,75,86QUEAUX,86203
Mme,VALLOIS-ROUET,Laurence,Conseillère régionale,Nouvelle-Aquitaine,Vienne,HIDALGO Anne,03/02/2022,VIENNE,86,75,86NOUVELLEAQUITAINE,
M.,BOUCHET,Roland,Maire,Aslonnes,Vienne,MACRON Emmanuel,03/02/2022,VIENNE,86,75,86ASLONNES,86010
M.,TABUTEAU,Aurélien,Maire,Plaisance,Vienne,MACRON Emmanuel,03/02/2022,VIENNE,86,75,86PLAISANCE,86192
M.,TURQUOIS,Nicolas,Député,4ème circonscription,Vienne,MACRON Emmanuel,03/02/2022,VIENNE,86,75,86EMECIRCONSCRIPTION,
M.,CHAUVET,Bernard,Maire,Jazeneuil,Vienne,MÉLENCHON Jean-Luc,03/02/2022,VIENNE,86,75,86JAZENEUIL,86116
M.,FAVREAU,Michel,Maire,Coussay-les-Bois,Vienne,POUTOU Philippe,03/02/2022,VIENNE,86,75,86COUSSAYLESBOIS,86086
Mme,MOPIN,Isabelle,Maire,Coulombiers,Vienne,POUTOU Philippe,03/02/2022,VIENNE,86,75,86COULOMBIERS,86083
M.,ANDRODIAS,Christophe,Maire,Haims,Vienne,THOUY Hélène,03/02/2022,VIENNE,86,75,86HAIMS,86110
M.,HENEAU,Bernard,Maire,Bellefonds,Vienne,DUPONT-AIGNAN Nicolas,08/02/2022,VIENNE,86,75,86BELLEFONDS,86020
M.,MONNAIS,Xavier,Maire,Thollet,Vienne,DUPONT-AIGNAN Nicolas,08/02/2022,VIENNE,86,75,86THOLLET,86270
M.,GOMEZ,Kevin,Maire,La Chapelle-Moulière,Vienne,JADOT Yannick,08/02/2022,VIENNE,86,75,86LACHAPELLEMOULIERE,86058
M.,PERREAU,Thierry,Conseiller régional,Nouvelle-Aquitaine,Vienne,JADOT Yannick,08/02/2022,VIENNE,86,75,86NOUVELLEAQUITAINE,
M.,VOUHE,Gregory,Conseiller départemental,,Vienne,JADOT Yannick,08/02/2022,VIENNE,86,75,86,
M.,BROTTIER,Anthony,Conseiller départemental,,Vienne,MACRON Emmanuel,08/02/2022,VIENNE,86,75,86,
Mme,GIRARD,Sandra,Maire,Marçay,Vienne,MACRON Emmanuel,08/02/2022,VIENNE,86,75,86MARCAY,86145
Mme,NORESKAL,Rita,Maire,Marigny-Chemereau,Vienne,MACRON Emmanuel,08/02/2022,VIENNE,86,75,86MARIGNYCHEMEREAU,86147
M.,NÉDÉLEC,Ronan,Conseiller régional,Nouvelle-Aquitaine,Vienne,PÉCRESSE Valérie,08/02/2022,VIENNE,86,75,86NOUVELLEAQUITAINE,
M.,GANACHAUD,Joachim,Maire,Villemort,Vienne,ROUSSEL Fabien,08/02/2022,VIENNE,86,75,86VILLEMORT,86291
Mme,LATUS,Marion,Conseillère régionale,Nouvelle-Aquitaine,Vienne,LE PEN Marine,10/02/2022,VIENNE,86,75,86NOUVELLEAQUITAINE,
M.,GRASSIEN,Jean-Yves,Maire,Gizay,Vienne,MACRON Emmanuel,10/02/2022,VIENNE,86,75,86GIZAY,86105
M.,MARCHADIER,Rémi,Maire,Roches-Prémarie-Andillé,Vienne,MACRON Emmanuel,10/02/2022,VIENNE,86,75,86ROCHESPREMARIEANDILLE,86209
M.,MARTIN,Eric,Maire,Vouillé,Vienne,MACRON Emmanuel,10/02/2022,VIENNE,86,75,86VOUILLE,86294
M.,MERCIER,Jean-Michel,Maire,La Chapelle-Bâton,Vienne,MACRON Emmanuel,10/02/2022,VIENNE,86,75,86LACHAPELLEBATON,86055
M.,GAUTHIER,Jean-Claude,Maire,Lizant,Vienne,POUTOU Philippe,10/02/2022,VIENNE,86,75,86LIZANT,86136
M.,VALETTE,Jean-Guy,Maire,Genouillé,Vienne,HIDALGO Anne,15/02/2022,VIENNE,86,75,86GENOUILLE,86104
Mme,GRAVAL,Christine,Conseillère régionale,Nouvelle-Aquitaine,Vienne,JADOT Yannick,15/02/2022,VIENNE,86,75,86NOUVELLEAQUITAINE,
Mme,TABUTEAU,Nathalie,Maire,Moulismes,Vienne,LAM Yaya,15/02/2022,VIENNE,86,75,86MOULISMES,86170
Mme,BOURGEON,Catherine,Conseillère départementale,,Vienne,MÉLENCHON Jean-Luc,15/02/2022,VIENNE,86,75,86,
M.,BOULOUX,Yves,Sénateur,,Vienne,PÉCRESSE Valérie,15/02/2022,VIENNE,86,75,86,
M.,TEXIER,Frédéric,Maire,Brux,Vienne,PÉCRESSE Valérie,15/02/2022,VIENNE,86,75,86BRUX,86039
Mme,HARRIS,Florence,Conseillère départementale,,Vienne,ROUSSEL Fabien,15/02/2022,VIENNE,86,75,86,
M.,CIBERT,Cyril,Maire,Chenevelles,Vienne,TAUBIRA Christiane,15/02/2022,VIENNE,86,75,86CHENEVELLES,86072
M.,VIAUD,Eric,Maire,La Bussière,Vienne,ZEMMOUR Éric,15/02/2022,VIENNE,86,75,86LABUSSIERE,86040
M.,BOURGOIN,Daniel,Maire,Moussac,Vienne,ARTHAUD Nathalie,17/02/2022,VIENNE,86,75,86MOUSSAC,86171
M.,SOULAT,Eric,Conseiller régional,Nouvelle-Aquitaine,Vienne,LE PEN Marine,17/02/2022,VIENNE,86,75,86NOUVELLEAQUITAINE,
M.,TROUSSELLE,Yves,Conseiller régional,Nouvelle-Aquitaine,Vienne,HIDALGO Anne,22/02/2022,VIENNE,86,75,86NOUVELLEAQUITAINE,
Mme,MONCOND'HUY,Leonore,Maire,Poitiers,Vienne,JADOT Yannick,22/02/2022,VIENNE,86,75,86POITIERS,86194
Mme,BENOIST,Brigitte,Maire déléguée d'une commune associée ou d'une commune déléguée,Boivre-la-Vallée,Vienne,MÉLENCHON Jean-Luc,22/02/2022,VIENNE,86,75,86BOIVRELAVALLEE,86123
M.,ECALLE,Michaël,Maire,Champagné-le-Sec,Vienne,PÉCRESSE Valérie,22/02/2022,VIENNE,86,75,86CHAMPAGNELESEC,86051
Mme,CHAMPIGNY,Patricia,Maire,Bournand,Vienne,ZEMMOUR Éric,22/02/2022,VIENNE,86,75,86BOURNAND,86036
Mme,PELTIER,Nathalie,Maire,Chalandray,Vienne,MACRON Emmanuel,24/02/2022,VIENNE,86,75,86CHALANDRAY,86050
Mme,ANDRE,Sandrine,Maire,Journet,Vienne,MÉLENCHON Jean-Luc,24/02/2022,VIENNE,86,75,86JOURNET,86118
