Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,BERTA,Philippe,Député,6ème circonscription,Gard,MACRON Emmanuel,01/02/2022,GARD,30,76,30EMECIRCONSCRIPTION,
Mme,AMASSE,Nicole,Maire,Saint-Sauveur-Camprieu,Gard,MÉLENCHON Jean-Luc,01/02/2022,GARD,30,76,30SAINTSAUVEURCAMPRIEU,30297
M.,GUILLAUME,Denis,Maire,Tharaux,Gard,ARTHAUD Nathalie,03/02/2022,GARD,30,76,30THARAUX,30327
M.,BAYLE,Régis,Conseiller régional,Occitanie,Gard,HIDALGO Anne,03/02/2022,GARD,30,76,30OCCITANIE,
M.,BOLLEGUE,Jacques,Maire,La Calmette,Gard,HIDALGO Anne,03/02/2022,GARD,30,76,30LACALMETTE,30061
Mme,COUVREUR,Amal,Conseillère régionale,Occitanie,Gard,HIDALGO Anne,03/02/2022,GARD,30,76,30OCCITANIE,
M.,PONS,Laurent,Maire,Vissec,Gard,HIDALGO Anne,03/02/2022,GARD,30,76,30VISSEC,30353
Mme,ANDRIEU-BONNET,Dominique,Conseillère départementale,,Gard,JADOT Yannick,03/02/2022,GARD,30,76,30,
Mme,BLANC,Geneviève,Maire,Anduze,Gard,JADOT Yannick,03/02/2022,GARD,30,76,30ANDUZE,30010
M.,CELLIER,Anthony,Député,3ème circonscription,Gard,MACRON Emmanuel,03/02/2022,GARD,30,76,30EMECIRCONSCRIPTION,
M.,CHAPELET,Jean-Yves,Maire,Bagnols-sur-Cèze,Gard,MACRON Emmanuel,03/02/2022,GARD,30,76,30BAGNOLSSURCEZE,30028
M.,CRUVEILLER,Fabien,Maire,Cardet,Gard,MACRON Emmanuel,03/02/2022,GARD,30,76,30CARDET,30068
Mme,DAUFÈS-ROUX,Catherine,Députée,5ème circonscription,Gard,MACRON Emmanuel,03/02/2022,GARD,30,76,30EMECIRCONSCRIPTION,
M.,DEBOUVERIE,Michel,Maire,Combas,Gard,MACRON Emmanuel,03/02/2022,GARD,30,76,30COMBAS,30088
M.,REY,Jean-Christian,Président d'un EPCI à fiscalité propre,CA du Gard Rhodanien,Gard,MACRON Emmanuel,03/02/2022,GARD,30,76,30CADUGARDRHODANIEN,
M.,GRIEU,Emmanuel,Maire,Mandagout,Gard,MÉLENCHON Jean-Luc,03/02/2022,GARD,30,76,30MANDAGOUT,30154
Mme,LEBEAU,Irène,Maire,Dourbies,Gard,MÉLENCHON Jean-Luc,03/02/2022,GARD,30,76,30DOURBIES,30105
M.,SALA,Michel,Maire,Saint-Félix-de-Pallières,Gard,MÉLENCHON Jean-Luc,03/02/2022,GARD,30,76,30SAINTFELIXDEPALLIERES,30252
M.,CHAILAN,Jean-Luc,Maire,Caveirac,Gard,PÉCRESSE Valérie,03/02/2022,GARD,30,76,30CAVEIRAC,30075
M.,DE FARIA,Jean-Pierre,Maire,Saint-Ambroix,Gard,PÉCRESSE Valérie,03/02/2022,GARD,30,76,30SAINTAMBROIX,30227
M.,PROUST,Franck,Président d'un EPCI à fiscalité propre,CA de Nîmes Métropole,Gard,PÉCRESSE Valérie,03/02/2022,GARD,30,76,30CADENIMESMETROPOLE,
M.,RIVENQ,Christophe,Président d'un EPCI à fiscalité propre,CA Alès Agglomération,Gard,PÉCRESSE Valérie,03/02/2022,GARD,30,76,30CAALESAGGLOMERATION,
M.,ROUSTAN,Max,Maire,Alès,Gard,PÉCRESSE Valérie,03/02/2022,GARD,30,76,30ALES,30007
M.,VALADIER,Eddy,Maire,Saint-Gilles,Gard,PÉCRESSE Valérie,03/02/2022,GARD,30,76,30SAINTGILLES,30258
M.,ANDRE,Sylvain,Maire,Cendras,Gard,ROUSSEL Fabien,03/02/2022,GARD,30,76,30CENDRAS,30077
M.,BASTID,Christian,Conseiller départemental,,Gard,ROUSSEL Fabien,03/02/2022,GARD,30,76,30,
M.,CERPEDES,Claude,Maire,Saint-Martin-de-Valgalgues,Gard,ROUSSEL Fabien,03/02/2022,GARD,30,76,30SAINTMARTINDEVALGALGUES,30284
Mme,CHAULET,Cathy,Conseillère départementale,,Gard,ROUSSEL Fabien,03/02/2022,GARD,30,76,30,
