Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,BOUQUET,Florian,Conseiller départemental,,Territoire de Belfort,PÉCRESSE Valérie,01/02/2022,TERRITOIREDEBELFORT,90,27,90,
M.,OTERNAUD,Eric,Conseiller régional,Bourgogne-Franche-Comté,Territoire de Belfort,JADOT Yannick,03/02/2022,TERRITOIREDEBELFORT,90,27,90BOURGOGNEFRANCHECOMTE,
M.,BOUCARD,Ian,Député,1ère circonscription,Territoire de Belfort,PÉCRESSE Valérie,03/02/2022,TERRITOIREDEBELFORT,90,27,90ERECIRCONSCRIPTION,
M.,GUARDIA,Baptiste,Maire,Bourogne,Territoire de Belfort,PÉCRESSE Valérie,03/02/2022,TERRITOIREDEBELFORT,90,27,90BOUROGNE,90017
M.,KLEIBER,André,Maire,Réchésy,Territoire de Belfort,PÉCRESSE Valérie,03/02/2022,TERRITOIREDEBELFORT,90,27,90RECHESY,90081
Mme,MONNIER VON AESCH,Anaïs,Conseillère départementale,,Territoire de Belfort,PÉCRESSE Valérie,03/02/2022,TERRITOIREDEBELFORT,90,27,90,
M.,OSTERMANN,Henri,Maire,Cunelières,Territoire de Belfort,PÉCRESSE Valérie,03/02/2022,TERRITOIREDEBELFORT,90,27,90CUNELIERES,90031
M.,VALLVERDU,Didier,Conseiller départemental,,Territoire de Belfort,PÉCRESSE Valérie,03/02/2022,TERRITOIREDEBELFORT,90,27,90,
M.,BLONDÉ,Marc,Maire,Larivière,Territoire de Belfort,POUTOU Philippe,03/02/2022,TERRITOIREDEBELFORT,90,27,90LARIVIERE,90062
Mme,BELUCHE,Marie-Dominique,Conseillère départementale,,Territoire de Belfort,JADOT Yannick,08/02/2022,TERRITOIREDEBELFORT,90,27,90,
M.,CNUDDE,Jean-Pierre,Maire,Pérouse,Territoire de Belfort,PÉCRESSE Valérie,08/02/2022,TERRITOIREDEBELFORT,90,27,90PEROUSE,90076
Mme,GABILLOUX,Pascale Jacqueline Gilberte,Maire,Novillard,Territoire de Belfort,PÉCRESSE Valérie,08/02/2022,TERRITOIREDEBELFORT,90,27,90NOVILLARD,90074
M.,MANCANET,Alexandre,Maire,Vauthiermont,Territoire de Belfort,PÉCRESSE Valérie,08/02/2022,TERRITOIREDEBELFORT,90,27,90VAUTHIERMONT,90100
M.,MESLOT,Damien,Maire,Belfort,Territoire de Belfort,PÉCRESSE Valérie,08/02/2022,TERRITOIREDEBELFORT,90,27,90BELFORT,90010
M.,PERRIN,Cédric,Sénateur,,Territoire de Belfort,PÉCRESSE Valérie,08/02/2022,TERRITOIREDEBELFORT,90,27,90,
M.,VIVOT,Sébastien,Conseiller départemental,,Territoire de Belfort,PÉCRESSE Valérie,08/02/2022,TERRITOIREDEBELFORT,90,27,90,
Mme,TERNANT,Muriel,Conseillère régionale,Bourgogne-Franche-Comté,Territoire de Belfort,ROUSSEL Fabien,08/02/2022,TERRITOIREDEBELFORT,90,27,90BOURGOGNEFRANCHECOMTE,
M.,FORMET,Emmanuel,Maire,Danjoutin,Territoire de Belfort,JADOT Yannick,10/02/2022,TERRITOIREDEBELFORT,90,27,90DANJOUTIN,90032
M.,SOUSTELLE,Christophe,Conseiller régional,Bourgogne-Franche-Comté,Territoire de Belfort,LE PEN Marine,10/02/2022,TERRITOIREDEBELFORT,90,27,90BOURGOGNEFRANCHECOMTE,
Mme,KETFI-CHARIF,Loubna,Conseillère départementale,,Territoire de Belfort,PÉCRESSE Valérie,10/02/2022,TERRITOIREDEBELFORT,90,27,90,
Mme,MORALLET,Maryline,Conseillère départementale,,Territoire de Belfort,PÉCRESSE Valérie,10/02/2022,TERRITOIREDEBELFORT,90,27,90,
M.,ZUMKELLER,Michel,Député,2ème circonscription,Territoire de Belfort,PÉCRESSE Valérie,10/02/2022,TERRITOIREDEBELFORT,90,27,90EMECIRCONSCRIPTION,
M.,JACQUEY,Marc,Maire,Leval,Territoire de Belfort,ARTHAUD Nathalie,15/02/2022,TERRITOIREDEBELFORT,90,27,90LEVAL,90066
M.,BIETRY,Thomas,Maire,Beaucourt,Territoire de Belfort,PÉCRESSE Valérie,15/02/2022,TERRITOIREDEBELFORT,90,27,90BEAUCOURT,90009
Mme,BONNANS-WEBER,Marguerite Dite Marie-France,Maire,Urcerey,Territoire de Belfort,PÉCRESSE Valérie,15/02/2022,TERRITOIREDEBELFORT,90,27,90URCEREY,90098
M.,KOEBERLE,Eric,Maire,Bavilliers,Territoire de Belfort,PÉCRESSE Valérie,15/02/2022,TERRITOIREDEBELFORT,90,27,90BAVILLIERS,90008
Mme,PRENAT,Annick,Maire,Courcelles,Territoire de Belfort,PÉCRESSE Valérie,15/02/2022,TERRITOIREDEBELFORT,90,27,90COURCELLES,90027
M.,GUERRE-GENTON,Bernard Georges,Maire,Lagrange,Territoire de Belfort,POUTOU Philippe,15/02/2022,TERRITOIREDEBELFORT,90,27,90LAGRANGE,90060
M.,NAWROT,Armand,Maire,Bourg-sous-Châtelet,Territoire de Belfort,LASSALLE Jean,17/02/2022,TERRITOIREDEBELFORT,90,27,90BOURGSOUSCHATELET,90016
M.,GROSJEAN,Pascal,Maire,Bermont,Territoire de Belfort,PÉCRESSE Valérie,17/02/2022,TERRITOIREDEBELFORT,90,27,90BERMONT,90011
M.,RODRIGUEZ,Rafaël,Maire,Méziré,Territoire de Belfort,PÉCRESSE Valérie,17/02/2022,TERRITOIREDEBELFORT,90,27,90MEZIRE,90069
M.,CONSTANTAKATOS,Miltiades,Maire,Frais,Territoire de Belfort,DUPONT-AIGNAN Nicolas,22/02/2022,TERRITOIREDEBELFORT,90,27,90FRAIS,90050
M.,CREPIN,Philippe,Maire,Montreux-Château,Territoire de Belfort,PÉCRESSE Valérie,22/02/2022,TERRITOIREDEBELFORT,90,27,90MONTREUXCHATEAU,90071
Mme,PEUREUX-DEMANGELLE,Anne-Sophie,Maire,Lachapelle-sous-Chaux,Territoire de Belfort,PÉCRESSE Valérie,22/02/2022,TERRITOIREDEBELFORT,90,27,90LACHAPELLESOUSCHAUX,90057
M.,CANAL,Christian,Maire,Vescemont,Territoire de Belfort,PÉCRESSE Valérie,24/02/2022,TERRITOIREDEBELFORT,90,27,90VESCEMONT,90102
Mme,IVOL,Marie-Hélène,Conseillère départementale,,Territoire de Belfort,PÉCRESSE Valérie,24/02/2022,TERRITOIREDEBELFORT,90,27,90,
