Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,ATALLAH,André,Maire,Basse-Terre,Guadeloupe,HIDALGO Anne,08/02/2022,GUADELOUPE,971,1,971BASSETERRE,97105
M.,GUILLAUME,Bernard,Conseiller régional,Guadeloupe,Guadeloupe,HIDALGO Anne,10/02/2022,GUADELOUPE,971,1,971GUADELOUPE,
Mme,JASMIN,Victoire,Sénatrice,,Guadeloupe,HIDALGO Anne,10/02/2022,GUADELOUPE,971,1,971,
Mme,VAINQUEUR CHRISTOPHE,Hélène,Députée,4ème circonscription,Guadeloupe,HIDALGO Anne,15/02/2022,GUADELOUPE,971,1,971EMECIRCONSCRIPTION,
M.,PERIAN,Jean-Luc,Conseiller départemental,,Guadeloupe,ARTHAUD Nathalie,17/02/2022,GUADELOUPE,971,1,971,
M.,LUREL,Victorin,Sénateur,,Guadeloupe,HIDALGO Anne,17/02/2022,GUADELOUPE,971,1,971,
M.,CHALUS,Ary,Conseiller régional,Guadeloupe,Guadeloupe,MACRON Emmanuel,17/02/2022,GUADELOUPE,971,1,971GUADELOUPE,
M.,BRUDEY,Hilaire,Maire,Terre-de-Haut,Guadeloupe,HIDALGO Anne,24/02/2022,GUADELOUPE,971,1,971TERREDEHAUT,97131
