Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,ESTROSI,Christian,Maire,Nice,Alpes-Maritimes,MACRON Emmanuel,01/02/2022,ALPESMARITIMES,06,93,06NICE,06088
Mme,VALETTA ARDISSON,Alexandra,Députée,4ème circonscription,Alpes-Maritimes,MACRON Emmanuel,01/02/2022,ALPESMARITIMES,06,93,06EMECIRCONSCRIPTION,
M.,BECK,Xavier,Maire,Cap-d'Ail,Alpes-Maritimes,PÉCRESSE Valérie,01/02/2022,ALPESMARITIMES,06,93,06CAPDAIL,06032
M.,CARRETERO,Didier,Conseiller départemental,,Alpes-Maritimes,PÉCRESSE Valérie,01/02/2022,ALPESMARITIMES,06,93,06,
Mme,LEIBOFF,Denise,Maire,Lieuche,Alpes-Maritimes,LASSALLE Jean,03/02/2022,ALPESMARITIMES,06,93,06LIEUCHE,06076
Mme,BOETTI-FORESTIER,Laurence,Conseillère régionale,Provence-Alpes-Cote D'Azur,Alpes-Maritimes,MACRON Emmanuel,03/02/2022,ALPESMARITIMES,06,93,06PROVENCEALPESCOTEDAZUR,
M.,BOTELLA,Georges,Maire,Théoule-sur-Mer,Alpes-Maritimes,MACRON Emmanuel,03/02/2022,ALPESMARITIMES,06,93,06THEOULESURMER,06138
M.,DOMBREVAL,Loïc,Député,2ème circonscription,Alpes-Maritimes,MACRON Emmanuel,03/02/2022,ALPESMARITIMES,06,93,06EMECIRCONSCRIPTION,
M.,ROUSSEL,Cédric,Député,3ème circonscription,Alpes-Maritimes,MACRON Emmanuel,03/02/2022,ALPESMARITIMES,06,93,06EMECIRCONSCRIPTION,
M.,SEGURA,Joseph,Maire,Saint-Laurent-du-Var,Alpes-Maritimes,MACRON Emmanuel,03/02/2022,ALPESMARITIMES,06,93,06SAINTLAURENTDUVAR,06123
Mme,BARENGO-FERRIER,Martine,Maire,La Bollène-Vésubie,Alpes-Maritimes,PÉCRESSE Valérie,03/02/2022,ALPESMARITIMES,06,93,06LABOLLENEVESUBIE,06020
M.,CIAIS,Roger,Maire,Touët-sur-Var,Alpes-Maritimes,PÉCRESSE Valérie,03/02/2022,ALPESMARITIMES,06,93,06TOUETSURVAR,06143
M.,LEROY,Henri,Sénateur,,Alpes-Maritimes,PÉCRESSE Valérie,03/02/2022,ALPESMARITIMES,06,93,06,
M.,LOTTIER,Michel,Maire,Blausasc,Alpes-Maritimes,PÉCRESSE Valérie,03/02/2022,ALPESMARITIMES,06,93,06BLAUSASC,06019
Mme,MARTIN,Alexandra,Conseillère départementale,,Alpes-Maritimes,PÉCRESSE Valérie,03/02/2022,ALPESMARITIMES,06,93,06,
Mme,THOMEL,Françoise,Conseillère départementale,,Alpes-Maritimes,PÉCRESSE Valérie,03/02/2022,ALPESMARITIMES,06,93,06,
M.,TUJAGUE,Francis Gilbert René,Maire,Contes,Alpes-Maritimes,ROUSSEL Fabien,03/02/2022,ALPESMARITIMES,06,93,06CONTES,06048
Mme,GOURDON,Marie-Louise,Conseillère départementale,,Alpes-Maritimes,HIDALGO Anne,08/02/2022,ALPESMARITIMES,06,93,06,
Mme,ESCALIER,Virginie,Conseillère régionale,Provence-Alpes-Cote D'Azur,Alpes-Maritimes,LE PEN Marine,08/02/2022,ALPESMARITIMES,06,93,06PROVENCEALPESCOTEDAZUR,
Mme,FERRARI,Ida,Conseillère régionale,Provence-Alpes-Cote D'Azur,Alpes-Maritimes,LE PEN Marine,08/02/2022,ALPESMARITIMES,06,93,06PROVENCEALPESCOTEDAZUR,
M.,TIVOLI,Lionel,Conseiller régional,Provence-Alpes-Cote D'Azur,Alpes-Maritimes,LE PEN Marine,08/02/2022,ALPESMARITIMES,06,93,06PROVENCEALPESCOTEDAZUR,
M.,MELE,Eric,Maire,Gourdon,Alpes-Maritimes,MACRON Emmanuel,08/02/2022,ALPESMARITIMES,06,93,06GOURDON,06068
Mme,AGNELLI,Mylène,Maire,Isola,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06ISOLA,06073
Mme,ALBERICI,Pierrette,Conseillère départementale,,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06,
M.,AMAR,Serge,Conseiller régional,Provence-Alpes-Cote D'Azur,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06PROVENCEALPESCOTEDAZUR,
M.,AMMIRATI,Guy,Maire,Péone,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06PEONE,06094
M.,ASSO,Bernard,Conseiller départemental,,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06,
M.,BROCHAND,Bernard,Député,8ème circonscription,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06EMECIRCONSCRIPTION,
M.,CHAIX,Bernard,Conseiller départemental,,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06,
M.,CHIKLI,Frank,Conseiller départemental,,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06,
M.,CIOTTI,Eric,Député,1ère circonscription,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06ERECIRCONSCRIPTION,
M.,CONIL,Jean Louis,Maire,Amirat,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06AMIRAT,06002
M.,CORBIN,Pierre,Maire,Toudon,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06TOUDON,06141
Mme,FRONTONI,Gaëlle,Conseillère départementale,,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06,
M.,GASIGLIA,Bertrand,Maire,Tourrette-Levens,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06TOURRETTELEVENS,06147
M.,GINESY,Charles Ange,Président d'un EPCI à fiscalité propre,CC Alpes d'Azur,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06CCALPESDAZUR,
M.,LAFITTE,Jean-Pierre,Conseiller départemental,,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06,
M.,LEONETTI,Jean,Maire,Antibes,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06ANTIBES,06004
M.,LOMBARDO,Gérald,Maire,Le Rouret,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06LEROURET,06112
M.,LUCIANO,Kevin,Maire,Vallauris,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06VALLAURIS,06155
M.,MANFREDI,Gérard,Maire,Roquebillière,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06ROQUEBILLIERE,06103
M.,MARTINELLI,Gilbert,Maire,Pierlas,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06PIERLAS,06096
M.,MOYA,Francis,Maire,Rigaud,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06RIGAUD,06101
M.,PAUGET,Eric,Député,7ème circonscription,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06EMECIRCONSCRIPTION,
M.,PIGRENET,Yves,Maire,Le Cannet,Alpes-Maritimes,PÉCRESSE Valérie,08/02/2022,ALPESMARITIMES,06,93,06LECANNET,06030
