Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,ATTOU,Yves,Maire,Saint-Christophe-sur-Roc,Deux-Sèvres,HIDALGO Anne,03/02/2022,DEUXSEVRES,79,75,79SAINTCHRISTOPHESURROC,79241
M.,GAMACHE,Nicolas,Conseiller régional,Nouvelle-Aquitaine,Deux-Sèvres,JADOT Yannick,03/02/2022,DEUXSEVRES,79,75,79NOUVELLEAQUITAINE,
M.,FIEVET,Jean-Marie,Député,3ème circonscription,Deux-Sèvres,MACRON Emmanuel,03/02/2022,DEUXSEVRES,79,75,79EMECIRCONSCRIPTION,
M.,DUFORESTEL,Pascal,Conseiller régional,Nouvelle-Aquitaine,Deux-Sèvres,HIDALGO Anne,08/02/2022,DEUXSEVRES,79,75,79NOUVELLEAQUITAINE,
Mme,LANZI,Nathalie,Conseillère régionale,Nouvelle-Aquitaine,Deux-Sèvres,HIDALGO Anne,08/02/2022,DEUXSEVRES,79,75,79NOUVELLEAQUITAINE,
Mme,SABOURIN BENELHADJ,Muriel,Conseillère départementale,,Deux-Sèvres,HIDALGO Anne,08/02/2022,DEUXSEVRES,79,75,79,
M.,ALLARD,Emmanuel,Maire,Allonne,Deux-Sèvres,JADOT Yannick,08/02/2022,DEUXSEVRES,79,75,79ALLONNE,79007
M.,BARRÉ,Daniel,Maire,Chizé,Deux-Sèvres,JADOT Yannick,08/02/2022,DEUXSEVRES,79,75,79CHIZE,79090
Mme,BATHO,Delphine,Députée,2ème circonscription,Deux-Sèvres,JADOT Yannick,08/02/2022,DEUXSEVRES,79,75,79EMECIRCONSCRIPTION,
Mme,PELAUD,Catherine,Conseillère départementale,,Deux-Sèvres,JADOT Yannick,08/02/2022,DEUXSEVRES,79,75,79,
M.,RENOUX,Jean-François,Conseiller départemental,,Deux-Sèvres,JADOT Yannick,08/02/2022,DEUXSEVRES,79,75,79,
M.,BOUCHET,Cédric,Maire,Vallans,Deux-Sèvres,LASSALLE Jean,08/02/2022,DEUXSEVRES,79,75,79VALLANS,79335
M.,GUIBERT,Olivier,Conseiller régional,Nouvelle-Aquitaine,Deux-Sèvres,LE PEN Marine,08/02/2022,DEUXSEVRES,79,75,79NOUVELLEAQUITAINE,
M.,BEVILLE,André,Maire,Saint-Jean-de-Thouars,Deux-Sèvres,MACRON Emmanuel,08/02/2022,DEUXSEVRES,79,75,79SAINTJEANDETHOUARS,79259
M.,DUPEYROU,Romain,Conseiller départemental,,Deux-Sèvres,MACRON Emmanuel,08/02/2022,DEUXSEVRES,79,75,79,
M.,PICHON,Gilles,Maire,Rom,Deux-Sèvres,MACRON Emmanuel,08/02/2022,DEUXSEVRES,79,75,79ROM,79230
M.,FAVREAU,Gilbert,Sénateur,,Deux-Sèvres,PÉCRESSE Valérie,08/02/2022,DEUXSEVRES,79,75,79,
M.,SINTIVE,Sylvain,Maire,Saint-Jacques-de-Thouars,Deux-Sèvres,PÉCRESSE Valérie,08/02/2022,DEUXSEVRES,79,75,79SAINTJACQUESDETHOUARS,79258
M.,EPOULET,Gerard,Maire,Germond-Rouvre,Deux-Sèvres,ROUSSEL Fabien,08/02/2022,DEUXSEVRES,79,75,79GERMONDROUVRE,79133
M.,BONNET,François,Maire,Saint-Hilaire-la-Palud,Deux-Sèvres,HIDALGO Anne,10/02/2022,DEUXSEVRES,79,75,79SAINTHILAIRELAPALUD,79257
M.,FERREIRA,Stéphane,Maire délégué d'une commune associée ou d'une commune déléguée,Les Châteliers,Deux-Sèvres,HIDALGO Anne,10/02/2022,DEUXSEVRES,79,75,79LESCHATELIERS,79105
M.,BAUDRY,Stéphane,Maire,Saint-Maixent-l'École,Deux-Sèvres,JADOT Yannick,10/02/2022,DEUXSEVRES,79,75,79SAINTMAIXENTLECOLE,79270
M.,D'ARAUJO,Olivier,Maire,Prin-Deyrançon,Deux-Sèvres,JADOT Yannick,10/02/2022,DEUXSEVRES,79,75,79PRINDEYRANCON,79220
M.,GUÉRINEAU,Louis-Marie,Maire,Saurais,Deux-Sèvres,JADOT Yannick,10/02/2022,DEUXSEVRES,79,75,79SAURAIS,79306
M.,MOUILLER,Philippe,Sénateur,,Deux-Sèvres,PÉCRESSE Valérie,10/02/2022,DEUXSEVRES,79,75,79,
M.,FORTIN,Jean-Baptiste,Maire,Cirières,Deux-Sèvres,POUTOU Philippe,10/02/2022,DEUXSEVRES,79,75,79CIRIERES,79091
Mme,GUÉDON,Patricia,Maire déléguée d'une commune associée ou d'une commune déléguée,Argentonnay,Deux-Sèvres,POUTOU Philippe,10/02/2022,DEUXSEVRES,79,75,79ARGENTONNAY,79013
Mme,BRILLAUD,Chantal,Conseillère départementale,,Deux-Sèvres,HIDALGO Anne,15/02/2022,DEUXSEVRES,79,75,79,
M.,LIAIGRE,Alain,Maire,Saint-Georges-de-Rex,Deux-Sèvres,HIDALGO Anne,15/02/2022,DEUXSEVRES,79,75,79SAINTGEORGESDEREX,79254
Mme,TRUONG,Elodie,Conseillère départementale,,Deux-Sèvres,HIDALGO Anne,15/02/2022,DEUXSEVRES,79,75,79,
M.,SALANON,Jean-François,Maire,Plaine-d'Argenson,Deux-Sèvres,JADOT Yannick,15/02/2022,DEUXSEVRES,79,75,79PLAINEDARGENSON,79078
M.,DEVAUTOUR,Thierry,Maire,Échiré,Deux-Sèvres,MACRON Emmanuel,15/02/2022,DEUXSEVRES,79,75,79ECHIRE,79109
Mme,CASSIN,Armelle,Conseillère régionale,Nouvelle-Aquitaine,Deux-Sèvres,PÉCRESSE Valérie,15/02/2022,DEUXSEVRES,79,75,79NOUVELLEAQUITAINE,
M.,MAROLLEAU,Thierry,Maire,La Forêt-sur-Sèvre,Deux-Sèvres,PÉCRESSE Valérie,15/02/2022,DEUXSEVRES,79,75,79LAFORETSURSEVRE,79123
