Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,LEVI,Pierre-Antoine,Sénateur,,Tarn-et-Garonne,PÉCRESSE Valérie,03/02/2022,TARNETGARONNE,82,76,82,
M.,GARRIGUES,Patrice,Conseiller régional,Occitanie,Tarn-et-Garonne,HIDALGO Anne,08/02/2022,TARNETGARONNE,82,76,82OCCITANIE,
Mme,LAVERON,Isabelle,Conseillère régionale,Occitanie,Tarn-et-Garonne,HIDALGO Anne,08/02/2022,TARNETGARONNE,82,76,82OCCITANIE,
M.,MOIGNARD,Jacques,Maire,Montech,Tarn-et-Garonne,HIDALGO Anne,08/02/2022,TARNETGARONNE,82,76,82MONTECH,82125
Mme,RABAULT,Valérie,Députée,1ère circonscription,Tarn-et-Garonne,HIDALGO Anne,08/02/2022,TARNETGARONNE,82,76,82ERECIRCONSCRIPTION,
Mme,SARDEING,Dominique,Conseillère départementale,,Tarn-et-Garonne,HIDALGO Anne,08/02/2022,TARNETGARONNE,82,76,82,
Mme,MAERTEN,Marie-Bernard,Maire,Malause,Tarn-et-Garonne,KAZIB Anasse,08/02/2022,TARNETGARONNE,82,76,82MALAUSE,82101
M.,SICARD,Jean-Claude,Maire,Montalzat,Tarn-et-Garonne,PÉCRESSE Valérie,08/02/2022,TARNETGARONNE,82,76,82MONTALZAT,82119
M.,MARTY,Alfred,Maire,Monbéqui,Tarn-et-Garonne,ROUSSEL Fabien,08/02/2022,TARNETGARONNE,82,76,82MONBEQUI,82114
M.,PORTOLES,Rodolphe,Conseiller régional,Occitanie,Tarn-et-Garonne,ROUSSEL Fabien,08/02/2022,TARNETGARONNE,82,76,82OCCITANIE,
M.,DELACHOUX,Jean-Paul,Maire,Pommevic,Tarn-et-Garonne,TAUBIRA Christiane,08/02/2022,TARNETGARONNE,82,76,82POMMEVIC,82141
M.,ISSANCHOU,Jean-Luc,Maire,Belbèze-en-Lomagne,Tarn-et-Garonne,ZEMMOUR Éric,08/02/2022,TARNETGARONNE,82,76,82BELBEZEENLOMAGNE,82015
M.,THAU,René,Maire,Lamothe-Cumont,Tarn-et-Garonne,ZEMMOUR Éric,08/02/2022,TARNETGARONNE,82,76,82LAMOTHECUMONT,82091
Mme,BOURDONCLE,Cathie,Conseillère départementale,,Tarn-et-Garonne,HIDALGO Anne,10/02/2022,TARNETGARONNE,82,76,82,
M.,DEVILLE,Thierry,Conseiller régional,Occitanie,Tarn-et-Garonne,PÉCRESSE Valérie,10/02/2022,TARNETGARONNE,82,76,82OCCITANIE,
M.,VIGOUROUX,Claude,Maire,Reyniès,Tarn-et-Garonne,PÉCRESSE Valérie,10/02/2022,TARNETGARONNE,82,76,82REYNIES,82150
M.,CRAIS,Gérard,Maire,Auty,Tarn-et-Garonne,HIDALGO Anne,15/02/2022,TARNETGARONNE,82,76,82AUTY,82007
M.,BARREAU,Jean-Michel,Maire,Touffailles,Tarn-et-Garonne,LASSALLE Jean,15/02/2022,TARNETGARONNE,82,76,82TOUFFAILLES,82182
M.,ASTRUC,Christian,Conseiller départemental,,Tarn-et-Garonne,MACRON Emmanuel,15/02/2022,TARNETGARONNE,82,76,82,
Mme,GAYET,Stéphanie,Conseillère régionale,Occitanie,Tarn-et-Garonne,LE PEN Marine,17/02/2022,TARNETGARONNE,82,76,82OCCITANIE,
M.,LEFEBVRE,Jean-Michel,Maire,Le Causé,Tarn-et-Garonne,TAUBIRA Christiane,22/02/2022,TARNETGARONNE,82,76,82LECAUSE,82036
M.,RICHARD,Jean-Paul,Maire,Montbarla,Tarn-et-Garonne,ZEMMOUR Éric,22/02/2022,TARNETGARONNE,82,76,82MONTBARLA,82122
M.,TABARLY,Michel,Maire,Castanet,Tarn-et-Garonne,HIDALGO Anne,24/02/2022,TARNETGARONNE,82,76,82CASTANET,82029
M.,LOPEZ,Romain,Conseiller départemental,,Tarn-et-Garonne,LE PEN Marine,24/02/2022,TARNETGARONNE,82,76,82,
M.,PASSEDAT,Nils,Maire,Lavaurette,Tarn-et-Garonne,POUTOU Philippe,24/02/2022,TARNETGARONNE,82,76,82LAVAURETTE,82095
