Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
Mme,DINDAR,Nassimah,Sénatrice,,La Réunion,MACRON Emmanuel,15/02/2022,LAREUNION,974,4,974,
M.,VALY,Bachil,Maire,Entre-Deux,La Réunion,MACRON Emmanuel,15/02/2022,LAREUNION,974,4,974ENTREDEUX,97403
M.,VERGOZ,Michel,Maire,Sainte-Rose,La Réunion,MACRON Emmanuel,15/02/2022,LAREUNION,974,4,974SAINTEROSE,97419
M.,MOREL,Jean Jacques,Conseiller régional,La Réunion,La Réunion,PÉCRESSE Valérie,15/02/2022,LAREUNION,974,4,974LAREUNION,
M.,DENNEMONT,Michel,Sénateur,,La Réunion,MACRON Emmanuel,17/02/2022,LAREUNION,974,4,974,
M.,RATENON,Jean-Hugues,Député,5ème circonscription,La Réunion,MÉLENCHON Jean-Luc,17/02/2022,LAREUNION,974,4,974EMECIRCONSCRIPTION,
M.,SERAPHIN,Emmanuel,Maire,Saint-Paul,La Réunion,MÉLENCHON Jean-Luc,17/02/2022,LAREUNION,974,4,974SAINTPAUL,97415
M.,TECHER,Jacques,Maire,Cilaos,La Réunion,MÉLENCHON Jean-Luc,17/02/2022,LAREUNION,974,4,974CILAOS,97424
M.,ANNETTE,Christian,Conseiller régional,La Réunion,La Réunion,TAUBIRA Christiane,17/02/2022,LAREUNION,974,4,974LAREUNION,
M.,HOAREAU,Serge Eric,Maire,Petite-Île,La Réunion,MACRON Emmanuel,22/02/2022,LAREUNION,974,4,974PETITEILE,97405
M.,MELCHIOR,Cyrille,Conseiller départemental,,La Réunion,MACRON Emmanuel,22/02/2022,LAREUNION,974,4,974,
Mme,TIONOHOUÉ,Sabrina,Conseillère départementale,,La Réunion,MACRON Emmanuel,22/02/2022,LAREUNION,974,4,974,
Mme,BELLO,Huguette,Conseillère régionale,La Réunion,La Réunion,MÉLENCHON Jean-Luc,22/02/2022,LAREUNION,974,4,974LAREUNION,
Mme,CESARI,Maya,Conseillère régionale,La Réunion,La Réunion,MÉLENCHON Jean-Luc,22/02/2022,LAREUNION,974,4,974LAREUNION,
M.,CHABRIAT,Jean-Pierre,Conseiller régional,La Réunion,La Réunion,MÉLENCHON Jean-Luc,22/02/2022,LAREUNION,974,4,974LAREUNION,
Mme,BASSIRE,Nathalie,Députée,3ème circonscription,La Réunion,PÉCRESSE Valérie,22/02/2022,LAREUNION,974,4,974EMECIRCONSCRIPTION,
Mme,ERUDEL,Isabelle,Conseillère départementale,,La Réunion,ROUSSEL Fabien,22/02/2022,LAREUNION,974,4,974,
M.,GIRONCEL,Maurice,Maire,Sainte-Suzanne,La Réunion,ROUSSEL Fabien,22/02/2022,LAREUNION,974,4,974SAINTESUZANNE,97420
Mme,GIRONCEL DAMOUR,Nadine,Conseillère régionale,La Réunion,La Réunion,ROUSSEL Fabien,22/02/2022,LAREUNION,974,4,974LAREUNION,
M.,LANGENIER,Jean Yves,Conseiller départemental,,La Réunion,ROUSSEL Fabien,22/02/2022,LAREUNION,974,4,974,
M.,SOTACA,René,Conseiller départemental,,La Réunion,ROUSSEL Fabien,22/02/2022,LAREUNION,974,4,974,
M.,PAYET,Johnny,Maire,La Plaine-des-Palmistes,La Réunion,LE PEN Marine,24/02/2022,LAREUNION,974,4,974LAPLAINEDESPALMISTES,97406
Mme,LEBON,Karine,Députée,2ème circonscription,La Réunion,MÉLENCHON Jean-Luc,24/02/2022,LAREUNION,974,4,974EMECIRCONSCRIPTION,
Mme,RAMAYE,Amandine,Conseillère régionale,La Réunion,La Réunion,MÉLENCHON Jean-Luc,24/02/2022,LAREUNION,974,4,974LAREUNION,
Mme,RAMASSAMY,Nadia,Députée,6ème circonscription,La Réunion,PÉCRESSE Valérie,24/02/2022,LAREUNION,974,4,974EMECIRCONSCRIPTION,
