Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
Mme,AUTIPOUT,Michèle,Maire,Xaintrailles,Lot-et-Garonne,LASSALLE Jean,01/02/2022,LOTETGARONNE,47,75,47XAINTRAILLES,47327
M.,GARRABOS,Jean-François,Maire,Feugarolles,Lot-et-Garonne,MACRON Emmanuel,01/02/2022,LOTETGARONNE,47,75,47FEUGAROLLES,47097
M.,ARMAND,José,Maire,Monheurt,Lot-et-Garonne,ARTHAUD Nathalie,03/02/2022,LOTETGARONNE,47,75,47MONHEURT,47177
Mme,BORDERIE,Sophie,Conseillère départementale,,Lot-et-Garonne,HIDALGO Anne,03/02/2022,LOTETGARONNE,47,75,47,
Mme,BERNADET,Nicole,Maire,Labastide-Castel-Amouroux,Lot-et-Garonne,LASSALLE Jean,03/02/2022,LOTETGARONNE,47,75,47LABASTIDECASTELAMOUROUX,47121
M.,CLAMENT,Pierre,Maire,Saint-Sernin,Lot-et-Garonne,LASSALLE Jean,03/02/2022,LOTETGARONNE,47,75,47SAINTSERNIN,47278
M.,DEPASSE,Guy,Maire,Clermont-Soubiran,Lot-et-Garonne,LASSALLE Jean,03/02/2022,LOTETGARONNE,47,75,47CLERMONTSOUBIRAN,47067
M.,DUPUY,Aymeric,Maire,Grézet-Cavagnan,Lot-et-Garonne,LASSALLE Jean,03/02/2022,LOTETGARONNE,47,75,47GREZETCAVAGNAN,47114
Mme,LABORDE,Françoise,Maire,La Sauvetat-sur-Lède,Lot-et-Garonne,LASSALLE Jean,03/02/2022,LOTETGARONNE,47,75,47LASAUVETATSURLEDE,47291
M.,LANDAS,Patrick,Maire,Saint-Martin-de-Villeréal,Lot-et-Garonne,LASSALLE Jean,03/02/2022,LOTETGARONNE,47,75,47SAINTMARTINDEVILLEREAL,47256
M.,DAMAISIN,Olivier,Député,3ème circonscription,Lot-et-Garonne,MACRON Emmanuel,03/02/2022,LOTETGARONNE,47,75,47EMECIRCONSCRIPTION,
M.,DIONIS DU SÉJOUR,Jean,Maire,Agen,Lot-et-Garonne,MACRON Emmanuel,03/02/2022,LOTETGARONNE,47,75,47AGEN,47001
M.,LAUZZANA,Michel,Député,1ère circonscription,Lot-et-Garonne,MACRON Emmanuel,03/02/2022,LOTETGARONNE,47,75,47ERECIRCONSCRIPTION,
M.,BOUISSIERE,Dominique,Maire,Monclar,Lot-et-Garonne,MÉLENCHON Jean-Luc,03/02/2022,LOTETGARONNE,47,75,47MONCLAR,47173
M.,BOUYSSONNIE,Thomas,Conseiller départemental,,Lot-et-Garonne,MÉLENCHON Jean-Luc,03/02/2022,LOTETGARONNE,47,75,47,
